Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,0,0,0,0,0,8,11,7,8,12
1000029,5,7,4,5,8,10,15,8,9,15
1000116,12,10,9,9,14,2,0,3,3,1
100024,1,2,1,1,3,11,10,6,7,13
1000306,5,10,8,6,10,6,2,4,4,8
1000316,4,2,3,2,4,8,8,8,6,9
100031,3,7,2,0,11,6,17,13,9,17
1000320,11,9,5,6,11,2,4,2,2,4
1000331,1,1,1,2,3,4,9,9,12,11
1000453,2,2,2,1,2,9,10,8,7,12
1000462,5,8,8,8,9,1,2,1,2,2
1000469,1,3,0,2,2,7,8,8,5,9
1000512,2,2,2,3,4,8,12,10,9,9
1000523,4,5,2,6,8,10,6,7,11,15
1000525,6,7,6,7,6,1,1,0,1,1
100092,2,8,8,7,11,0,1,0,0,0
1001000016,3,3,3,0,4,3,3,1,1,1
1001000017,3,9,5,5,11,9,8,5,5,10
1001000029,4,9,8,7,9,2,2,1,2,1
1001000044,1,3,0,1,3,7,8,4,6,6
1001000054,8,11,3,5,9,3,2,2,0,3
1001010020,10,10,8,10,9,5,4,1,1,3
1001010041,11,10,8,15,17,2,1,2,1,2
1001010047,11,8,9,9,11,4,6,6,6,9
1001010060,5,12,4,7,11,2,3,3,2,2
1001010073,10,11,6,6,9,3,3,1,2,5
1001010082,8,7,4,5,11,4,5,2,3,6
1001010086,5,9,5,4,10,13,13,4,7,17
1001010089,1,2,2,1,2,11,6,4,8,15
1001010097,0,1,1,0,1,10,10,5,9,8
1001010098,4,13,9,5,11,1,1,0,1,0
1001010106,12,11,6,8,17,8,10,9,3,12
1001010108,9,17,16,8,17,7,10,6,5,10
1001010113,10,4,9,5,13,11,16,9,8,17
1001010129,13,13,4,7,9,6,7,4,5,8
1001010139,7,12,6,9,10,3,2,2,2,5
1001020025,5,4,2,1,4,13,19,9,8,13
1001020027,7,9,7,10,10,3,2,1,3,2
1001020035,0,2,0,1,3,9,12,7,8,12
1001020036,3,4,1,6,3,6,9,11,6,6
1001020042,3,4,3,4,7,2,2,0,2,2
1001020048,12,8,5,13,10,6,10,8,10,11
1001020050,6,8,4,4,8,9,9,7,7,14
1001020054,1,1,1,0,3,15,19,16,5,13
1001020062,18,11,13,9,11,2,2,2,1,2
1001020065,1,1,3,3,5,0,3,2,1,3
1001020066,11,8,4,5,10,7,4,5,3,7
1001020070,11,15,16,12,14,13,8,5,6,10
1001020073,5,3,2,6,2,9,12,10,7,15
1001020078,5,11,10,3,10,2,1,1,1,3
1001020080,16,11,11,11,18,5,4,2,4,4
1001020083,7,7,6,9,14,4,2,2,2,2
1001020089,15,25,17,11,21,7,8,6,4,5
