Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,2,5,6,3,15,-,8,-,-,6
1000029,3,6,3,4,13,4,7,2,-,15
1000116,3,9,3,3,12,4,11,4,6,11
100024,1,3,3,2,5,2,3,2,-,8
1000306,5,3,4,2,16,7,6,4,1,11
1000316,5,8,5,2,7,3,7,4,1,9
100031,3,5,1,1,8,1,4,3,1,11
1000320,1,3,3,2,10,3,3,2,5,9
1000331,2,3,3,4,9,2,4,3,2,14
1000453,4,5,2,2,7,3,9,2,2,6
1000462,2,4,4,3,13,4,5,4,1,7
1000469,4,5,3,2,6,7,2,5,1,10
1000512,7,5,7,3,10,1,8,2,-,9
1000523,2,3,5,3,12,5,8,5,3,13
1000525,5,5,2,1,6,1,4,2,1,8
100092,2,3,1,-,7,1,5,3,1,7
1001000016,-,2,3,2,11,9,11,3,2,6
1001000017,2,4,2,2,8,2,5,4,3,9
1001000029,1,5,3,2,6,4,5,1,4,7
1001000044,2,3,4,3,4,2,4,4,2,6
1001000054,2,2,3,1,7,-,3,2,1,5
1001010020,-,4,2,-,7,-,3,2,-,6
1001010041,1,3,2,3,3,1,3,3,-,3
1001010047,5,4,4,5,21,3,7,1,2,20
1001010060,1,4,6,-,9,-,3,2,1,7
1001010073,1,5,4,1,7,3,2,3,1,5
1001010082,3,4,4,2,11,-,4,2,3,9
1001010086,-,4,2,1,11,4,3,3,2,9
1001010089,4,7,2,2,6,1,5,2,2,7
1001010097,2,2,1,1,7,3,5,1,-,7
1001010098,3,3,2,-,11,3,3,1,2,8
1001010106,3,3,1,2,5,4,3,3,2,6
1001010108,4,2,-,-,12,2,3,2,1,25
1001010113,4,3,2,1,10,1,4,4,1,6
1001010129,2,4,5,-,13,4,4,2,-,8
1001010139,1,7,2,-,8,1,5,1,-,9
1001020025,4,2,6,1,9,5,2,2,2,9
1001020027,3,4,2,4,5,2,2,3,-,4
1001020035,3,3,1,1,5,2,3,1,-,6
1001020036,-,3,2,1,10,3,4,1,-,12
1001020042,2,4,3,3,10,5,4,4,1,13
1001020048,4,3,4,3,18,3,4,1,2,8
1001020050,-,4,2,1,4,2,4,3,1,6
1001020054,1,5,3,1,7,3,3,3,2,3
1001020062,2,4,1,1,8,2,4,3,3,8
1001020065,1,3,1,3,5,3,3,3,2,7
1001020066,3,2,1,1,10,3,1,3,2,5
1001020070,6,5,2,1,9,9,4,4,2,14
1001020073,2,2,-,1,8,3,6,2,2,7
1001020078,-,2,3,1,4,1,2,3,1,8
1001020080,3,3,2,3,4,3,2,2,1,6
1001020083,1,3,-,-,5,2,3,2,1,6
1001020089,3,4,3,1,11,-,4,4,1,11
1001020099,4,4,3,-,13,1,5,4,-,8
1001020112,1,5,1,3,7,5,2,2,-,5
1001020120,1,5,1,2,7,-,2,5,-,11
1001020148,1,5,2,1,4,6,8,2,3,8
1001020157,-,4,1,-,5,-,2,2,-,3
1001020167,2,6,3,-,9,3,3,2,4,10
1001020174,1,1,2,1,4,4,2,1,-,6
1001020185,2,1,4,-,3,1,1,4,-,7
1001020201,1,5,1,-,7,2,4,1,1,8
1001020214,1,3,4,-,13,2,3,-,2,11
1001020222,3,9,3,2,3,2,9,2,1,9
1001020233,3,7,3,-,8,2,5,5,3,11
1001020245,3,3,3,-,9,2,4,-,1,12
100102,3,4,2,1,10,-,4,-,1,5
1001030097,5,3,7,2,7,2,3,3,1,10
1001030105,2,4,4,1,6,5,3,4,3,6
1001030110,1,4,2,2,4,1,2,2,2,5
1001030118,4,3,3,1,6,2,2,1,1,10
1001030127,1,3,4,2,2,2,1,1,1,10
1001030142,1,2,3,2,4,1,1,4,3,6
1001030146,5,2,3,2,4,2,2,3,2,8
1001030165,4,6,2,-,10,3,3,5,1,9
1001030177,3,2,3,2,7,3,3,-,4,8
1001030183,2,6,3,3,6,3,4,1,-,5
1001040016,3,4,1,2,11,2,2,3,1,5
1001040017,1,4,4,4,5,3,3,3,2,6
1001040024,1,1,1,3,5,1,2,2,3,5
1001040034,4,3,1,3,4,3,4,1,1,5
1001040041,2,2,2,1,5,3,4,4,1,5
1001040061,1,4,2,1,4,4,7,2,2,5
1001040062,3,4,3,4,17,2,5,2,-,10
1001040068,1,2,4,1,7,6,7,2,3,9
1001040074,3,3,1,1,6,2,4,3,2,2
1001040080,2,2,1,2,4,1,2,2,-,2
1001040096,4,4,3,2,8,2,3,4,2,3
1001040103,5,3,1,2,8,1,3,3,4,9
1001040111,2,3,2,2,3,1,2,1,1,3
