Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,1.1k,13.4k,3.3k,3.4k,7.9k,1.7k,9.2k,5.6k,2.6k,2.4k
1000029,3.1k,19.1k,2.7k,1.9k,2.7k,17.8k,12.3k,4.7k,4.0k,8.3k
1000116,3.7k,12.8k,3.3k,3.0k,3.1k,1.7k,10.0k,2.0k,0.8k,5.7k
100024,5.0k,3.3k,2.9k,1.2k,2.1k,2.6k,2.7k,0.5k,1.8k,8.5k
1000306,9.3k,9.3k,3.1k,4.4k,10.8k,3.4k,10.1k,1.7k,3.5k,11.2k
1000316,4.8k,10.9k,1.5k,2.3k,11.4k,3.5k,14.5k,3.0k,3.1k,2.0k
100031,2.0k,1.1k,0.5k,1.2k,0.2k,0.8k,2.3k,2.4k,3.0k,2.3k
1000320,3.5k,21.3k,3.2k,1.3k,7.9k,1.6k,8.5k,0.9k,3.7k,1.0k
1000331,0.5k,7.9k,0.5k,2.5k,2.1k,2.2k,15.9k,4.0k,3.0k,7.4k
1000360176,1.5k,4.5k,0.5k,2.8k,1.3k,6.1k,3.4k,0.6k,2.7k,6.4k
1000360187,0.7k,9.8k,0.9k,1.4k,2.3k,3.1k,1.3k,2.6k,1.6k,0.7k
1000360191,1.6k,4.4k,0.2k,2.6k,8.3k,5.8k,8.1k,2.4k,2.6k,0.6k
1000360205,0.8k,8.6k,1.0k,0.8k,6.8k,8.4k,3.7k,2.8k,1.5k,9.4k
1000360219,0.3k,0.3k,0.7k,0.4k,5.5k,0.4k,4.3k,1.1k,2.4k,0.4k
1000360222,0.6k,3.4k,1.0k,1.1k,2.8k,0.6k,1.1k,0.4k,1.5k,2.0k
1000360381,0.7k,2.8k,0.9k,2.8k,3.6k,6.1k,9.0k,1.4k,1.4k,0.1k
1000360390,1.9k,2.3k,0.4k,4.8k,13.4k,13.2k,8.4k,6.0k,2.8k,5.4k
1000360397,0.5k,2.6k,2.3k,2.7k,4.0k,10.0k,9.7k,2.7k,2.3k,0.1k
1000360408,0.8k,2.1k,1.5k,2.3k,2.5k,6.6k,4.2k,1.4k,2.9k,2.6k
1000360417,0.0k,13.9k,2.7k,3.2k,6.1k,15.6k,1.6k,9.3k,4.5k,10.3k
1000360424,6.3k,12.4k,1.0k,2.2k,0.7k,0.5k,3.7k,1.7k,1.9k,0.6k
1000360430,1.3k,5.2k,2.8k,1.5k,1.7k,8.9k,0.9k,0.8k,2.8k,1.7k
1000370225,1.4k,5.7k,0.8k,3.5k,1.7k,10.5k,16.7k,1.1k,3.9k,3.7k
1000370226,0.8k,4.7k,0.6k,1.4k,7.0k,4.1k,4.1k,6.0k,3.1k,1.8k
1000370236,0.4k,2.9k,1.2k,2.5k,1.2k,0.6k,7.1k,0.9k,1.8k,4.4k
1000370246,10.9k,10.0k,5.1k,1.3k,9.6k,0.3k,7.2k,0.4k,1.3k,0.6k
1000370262,5.2k,4.0k,0.9k,0.7k,2.2k,0.3k,7.2k,1.0k,0.7k,1.8k
1000370271,7.7k,3.1k,0.3k,1.2k,0.8k,1.0k,7.0k,0.0k,1.7k,1.2k
1000370301,0.2k,5.5k,2.4k,5.3k,28.2k,4.0k,27.1k,4.8k,3.4k,5.3k
1000370304,9.1k,2.6k,3.9k,2.0k,14.6k,6.1k,3.0k,3.9k,2.0k,0.1k
1000370313,5.0k,3.5k,0.4k,2.3k,0.9k,0.7k,3.3k,1.3k,2.6k,2.0k
1000370317,5.9k,5.9k,2.1k,1.5k,1.2k,0.7k,11.9k,0.6k,1.2k,7.4k
1000370321,3.6k,2.9k,0.3k,1.3k,3.1k,3.0k,7.0k,0.6k,0.6k,0.1k
1000370325,9.7k,4.6k,4.9k,1.5k,0.8k,0.5k,7.1k,1.4k,1.6k,1.2k
1000380062,1.8k,2.0k,0.7k,2.2k,1.4k,0.4k,5.0k,1.0k,2.1k,4.5k
1000380064,6.8k,6.0k,0.8k,2.9k,1.3k,2.5k,8.1k,0.3k,1.2k,0.8k
1000380065,0.2k,1.7k,0.3k,1.2k,1.4k,0.7k,3.1k,0.5k,0.9k,0.6k
1000380087,3.5k,3.4k,1.6k,2.5k,1.9k,0.3k,9.5k,0.5k,2.8k,0.9k
1000380094,2.2k,3.4k,1.1k,4.4k,1.0k,13.5k,15.6k,1.0k,4.4k,1.2k
1000380095,8.1k,12.9k,1.2k,2.5k,5.8k,13.0k,13.9k,1.0k,3.3k,0.7k
1000380097,9.0k,4.6k,0.9k,2.8k,1.2k,13.1k,8.9k,2.4k,4.1k,8.3k
1000380098,6.4k,2.9k,0.5k,2.6k,0.5k,0.7k,6.6k,0.5k,3.5k,0.7k
