Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,23.9k,26.8k,23.7k,12.4k,11.5k,23.0k,23.1k,6.3k,11.3k,8.8k
1000029,29.3k,26.9k,20.6k,14.9k,21.0k,35.9k,30.3k,18.6k,13.8k,25.5k
1000116,18.1k,23.2k,13.2k,18.4k,17.8k,17.9k,22.2k,15.9k,7.1k,19.4k
100024,18.0k,17.8k,13.2k,12.1k,9.6k,19.9k,15.0k,9.1k,8.0k,6.2k
1000306,22.4k,28.8k,18.2k,16.5k,22.0k,26.2k,25.3k,15.8k,15.5k,22.0k
1000316,22.0k,25.8k,21.0k,19.1k,20.4k,25.2k,28.1k,11.8k,15.4k,17.3k
100031,20.4k,24.0k,19.9k,15.8k,13.7k,11.8k,22.1k,11.6k,15.2k,14.7k
1000320,26.3k,28.7k,16.5k,7.3k,14.3k,15.9k,24.9k,11.3k,13.0k,18.0k
1000331,13.4k,24.2k,20.5k,11.4k,9.2k,12.0k,27.3k,11.3k,10.4k,17.3k
1000453,21.4k,26.3k,13.9k,15.8k,14.6k,21.1k,35.4k,18.1k,12.6k,20.1k
1000462,19.0k,29.6k,22.8k,10.5k,22.8k,22.9k,26.7k,13.0k,16.6k,14.8k
1000469,27.6k,23.1k,12.4k,11.1k,17.6k,22.6k,21.4k,12.5k,13.9k,16.2k
1000512,18.5k,38.9k,19.4k,18.4k,17.2k,23.5k,20.7k,17.2k,12.3k,16.3k
1000523,41.4k,29.6k,20.1k,14.7k,19.3k,22.6k,36.7k,21.2k,16.2k,23.4k
1000525,15.6k,23.8k,9.2k,13.4k,8.5k,22.3k,21.4k,13.8k,11.8k,18.4k
100092,14.5k,18.7k,8.6k,10.8k,13.4k,13.3k,22.2k,12.7k,12.8k,14.9k
1001000016,28.9k,37.0k,17.2k,12.2k,13.5k,9.4k,38.0k,10.8k,18.5k,9.5k
1001000017,35.6k,23.6k,25.7k,15.0k,13.3k,34.5k,34.7k,18.4k,22.5k,15.0k
1001000029,20.0k,17.0k,11.4k,8.5k,6.9k,17.8k,21.7k,14.3k,18.4k,8.9k
1001000044,10.7k,19.5k,7.3k,12.8k,6.0k,14.5k,16.8k,10.9k,8.7k,14.0k
1001000054,22.0k,14.6k,7.9k,8.2k,6.5k,13.9k,18.8k,14.5k,15.7k,6.3k
1001010020,8.4k,17.8k,9.8k,8.7k,8.2k,13.4k,18.3k,19.0k,11.2k,14.4k
1001010041,14.5k,18.3k,12.6k,8.7k,16.1k,21.2k,18.4k,15.3k,16.0k,10.3k
1001010047,19.1k,43.3k,6.9k,8.2k,24.4k,32.1k,38.2k,11.9k,19.3k,19.0k
1001010060,12.4k,27.4k,18.7k,16.3k,13.1k,19.4k,26.7k,18.3k,17.7k,21.7k
1001010073,14.4k,32.6k,18.8k,13.5k,16.6k,15.3k,31.6k,9.9k,17.3k,9.2k
1001010082,14.6k,18.8k,16.8k,12.4k,10.4k,23.3k,22.9k,15.6k,17.0k,14.6k
1001010086,38.7k,29.2k,22.0k,24.2k,17.3k,20.7k,43.0k,21.6k,17.7k,21.1k
