Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,5,1,1,1,0,4,2,6,3,2
1000029,4,3,3,4,4,1,2,2,1,2
1000116,1,0,1,1,1,3,5,4,2,4
100024,4,3,3,4,4,1,0,1,1,1
1000306,2,4,3,1,1,5,3,3,2,3
1000316,5,3,3,3,4,1,1,0,1,3
100031,5,6,4,5,6,1,1,2,5,4
1000320,2,0,1,0,1,3,4,2,1,3
1000331,4,3,5,1,1,0,0,1,1,1
1000360176,1,2,2,0,3,3,7,6,4,3
1000360187,1,0,0,0,0,5,3,2,3,0
1000360191,4,1,1,2,2,7,2,6,4,5
1000360205,0,0,2,0,0,1,2,2,2,1
1000360219,1,6,3,1,2,0,1,0,1,3
1000360222,0,1,1,0,1,3,3,3,5,0
1000360381,0,1,1,1,6,2,1,1,1,2
1000360390,8,6,6,7,6,4,3,3,4,2
1000360397,5,6,2,3,2,4,3,4,2,6
1000360408,3,4,5,2,2,1,1,5,1,3
1000360417,5,1,5,2,2,5,4,1,3,6
1000360424,1,1,0,1,3,6,3,2,1,3
1000360430,2,1,1,2,2,7,4,9,3,2
1000370225,2,3,1,1,3,3,2,1,3,2
1000370226,4,2,5,3,4,3,0,1,1,1
1000370236,3,1,2,0,3,4,2,7,4,4
1000370246,0,0,0,0,2,6,1,4,0,3
1000370262,0,3,1,0,0,8,2,2,0,2
1000370271,0,0,1,1,1,7,6,2,4,7
1000370301,6,5,5,6,4,0,2,5,3,6
1000370304,1,3,2,2,4,5,4,3,3,4
1000370313,9,4,7,2,4,1,2,2,0,3
1000370317,0,5,2,2,2,2,0,0,0,0
1000370321,1,2,4,1,3,0,0,1,0,0
1000370325,0,0,0,0,0,3,3,2,2,4
1000380062,5,4,7,3,5,0,0,0,2,1
1000380064,1,4,3,2,1,7,5,4,4,7
1000380065,5,6,7,4,6,0,1,0,1,1
1000380087,2,8,2,5,6,0,0,1,2,4
1000380094,5,6,3,1,5,2,3,3,3,4
1000380095,5,4,2,4,4,3,3,5,4,5
1000380097,1,2,0,1,2,3,5,6,4,4
1000380098,1,3,1,1,3,8,6,9,4,5
1000420071,2,2,5,3,3,2,5,4,2,4
1000420074,0,1,0,0,1,1,5,2,4,5
1000420080,4,3,1,1,3,4,8,6,5,3
1000420135,11,6,5,9,8,2,5,2,2,3
1000420142,4,1,4,5,5,1,1,0,1,1
1000420149,6,6,6,4,4,1,1,0,1,3
1000430019,6,3,4,4,3,3,1,4,2,1
1000430033,0,1,0,0,0,3,3,5,2,2
1000430034,3,3,4,4,5,2,1,2,1,2
1000430040,2,3,4,4,2,2,1,4,1,2
1000430047,2,3,1,1,5,9,5,7,6,7
1000430058,1,2,1,1,0,7,5,4,4,5
1000430107,2,3,3,4,3,0,0,0,0,0
1000430112,1,3,0,0,0,4,4,1,2,3
1000430120,4,2,1,0,3,7,5,7,5,4
1000430136,0,1,0,1,0,7,4,4,1,4
1000430139,5,4,3,4,3,2,2,0,1,1
1000430162,7,2,4,2,4,4,3,5,1,3
1000440012,4,5,2,0,4,7,3,4,3,4
1000440016,0,0,0,1,1,5,7,5,3,7
1000440023,0,1,1,1,2,2,2,3,5,2
1000440032,1,0,1,1,3,2,2,2,3,2
1000440053,8,3,0,1,6,6,6,3,2,4
1000440054,1,3,1,1,1,6,6,3,7,4
1000450045,3,4,3,2,3,5,3,3,6,6
1000453,6,5,4,4,3,2,2,0,0,1
1000460050,0,2,0,1,0,1,3,2,2,4
1000460053,5,9,7,7,5,1,4,2,3,1
1000460054,4,3,3,1,3,2,2,0,1,0
1000460055,6,4,4,4,8,2,1,0,3,4
1000460089,1,1,1,1,2,3,3,3,2,3
1000460091,3,1,3,2,1,4,2,2,4,2
1000462,0,0,0,0,2,4,1,1,2,4
1000469,6,4,2,2,3,0,1,0,0,2
1000470064,4,4,5,5,11,2,0,4,0,1
1000470071,6,5,10,3,5,0,1,2,2,0
1000470072,2,0,2,2,4,5,2,6,4,4
1000470074,4,5,7,5,5,4,4,3,4,4
1000470085,3,5,5,4,5,3,3,2,1,3
1000470086,9,7,6,5,6,3,2,4,5,7
1000470087,2,3,0,2,1,5,5,4,1,1
1000470108,4,2,3,1,3,2,1,1,0,1
1000470111,1,1,1,1,2,5,4,6,6,5
1000470112,6,5,6,3,4,4,1,3,1,1
1000480040,4,4,4,2,2,0,0,0,0,1
1000480046,0,1,2,3,2,3,6,7,5,5
1000480047,1,0,1,2,1,2,6,2,4,5
1000490068,1,3,5,3,2,4,3,6,4,2
1000512,4,6,6,4,2,2,0,1,1,1
1000523,6,3,2,4,5,4,3,1,2,1
1000525,2,0,0,0,0,4,4,3,3,3
100070,1,0,0,0,0,2,4,2,3,1
100072,7,2,2,2,3,4,1,2,1,3
100080,2,0,0,3,1,3,4,4,2,3
100081,6,1,5,4,5,6,3,1,3,5
100092,0,0,1,0,1,2,4,6,2,4
1001000016,0,0,2,0,2,0,3,1,1,0
1001000017,4,2,3,2,3,3,3,4,4,2
1001000029,0,1,1,0,1,3,4,3,3,2
1001000044,3,2,2,3,2,1,1,0,0,2
1001000054,1,0,0,1,3,4,1,5,2,1
1001010020,2,2,0,0,3,5,2,2,3,6
1001010041,2,0,0,1,2,5,5,3,6,5
1001010047,6,5,0,2,2,6,3,2,4,2
1001010060,1,2,1,0,1,3,3,4,1,4
1001010073,2,1,5,0,2,7,6,2,2,2
1001010082,2,1,2,2,0,3,1,6,2,3
1001010086,5,6,7,4,4,5,7,2,2,1
1001010089,3,6,4,5,3,0,0,1,1,0
1001010097,6,5,3,2,1,0,2,0,0,1
1001010098,0,0,0,1,0,2,3,4,1,3
1001010106,1,7,1,2,3,4,1,8,3,4
1001010108,3,3,3,1,4,7,5,2,3,5
1001010113,5,3,4,3,4,3,6,4,2,0
1001010129,4,2,3,0,2,6,3,2,6,5
1001010139,2,1,3,0,3,6,5,2,2,2
1001020025,6,8,5,4,4,4,3,2,1,2
1001020027,1,1,0,1,1,2,4,4,1,6
1001020035,2,6,3,2,5,3,0,0,2,1
1001020036,3,4,5,0,4,2,1,2,1,4
1001020042,0,1,0,1,2,3,6,1,1,0
1001020048,6,5,0,2,5,6,3,1,4,7
1001020050,5,6,5,2,3,3,3,1,2,1
1001020054,4,3,5,4,8,0,1,0,1,1
1001020062,0,2,1,1,1,4,5,4,3,5
1001020065,2,0,0,1,1,3,3,0,0,0
1001020066,2,2,1,1,1,4,5,4,3,1
1001020070,3,4,5,3,5,3,5,5,6,8
1001020073,6,3,3,2,4,2,4,1,0,1
1001020078,1,2,0,0,0,4,4,4,3,3
1001020080,3,3,0,3,0,7,5,5,3,5
1001020083,1,2,1,1,0,5,4,4,3,2
1001020089,3,3,3,2,4,9,4,4,6,10
1001020099,2,2,0,1,3,4,2,3,2,4
1001020112,6,6,4,3,9,4,5,3,3,5
1001020120,1,3,4,1,4,4,4,2,0,1
1001020148,5,5,1,3,2,1,1,0,2,3
1001020157,1,0,3,0,0,3,2,2,0,3
1001020167,7,4,1,2,4,3,4,0,0,1
1001020174,1,1,0,0,2,2,1,3,5,2
1001020185,5,4,2,1,8,0,3,0,1,0
1001020201,0,1,1,2,2,7,2,3,0,1
1001020214,2,3,2,1,2,4,3,1,3,4
1001020222,2,0,0,3,2,1,4,3,1,3
1001020233,6,8,2,2,4,8,9,5,2,4
1001020245,6,2,3,0,1,3,2,2,4,4
100102,3,6,3,5,8,3,3,3,7,4
1001030097,5,4,3,1,3,0,3,1,3,1
1001030105,4,4,1,1,2,6,6,6,5,7
1001030110,1,3,1,0,2,0,0,1,0,0
1001030118,4,5,2,2,5,0,0,1,1,1
1001030127,8,5,4,5,3,6,2,4,4,1
1001030142,3,2,1,0,2,4,3,3,4,2
1001030146,2,1,2,3,3,7,4,5,2,6
1001030165,3,4,5,4,4,4,3,2,4,3
1001030177,2,3,1,2,3,5,4,7,5,3
1001030183,1,6,1,2,5,6,5,7,5,4
1001040016,2,2,3,2,1,2,2,1,0,2
1001040017,5,1,7,4,3,3,4,2,2,2
1001040024,0,1,1,0,1,4,3,2,2,3
1001040025,3,3,2,6,3,1,3,2,0,1
1001040034,3,2,0,2,3,3,7,6,3,3
1001040041,1,0,0,1,0,2,3,3,1,1
1001040042,3,4,3,1,3,8,8,4,3,6
1001040055,4,4,2,2,3,2,1,2,0,1
1001040061,4,3,2,1,1,4,5,0,2,4
1001040062,5,3,5,3,5,6,5,4,4,4
1001040068,5,5,6,4,7,3,4,2,2,1
1001040074,7,5,3,0,5,4,1,0,1,3
1001040076,3,6,4,2,5,1,4,1,2,2
1001040080,1,3,0,0,1,3,5,2,2,2
1001040091,9,6,6,4,8,4,2,0,1,2
1001040096,1,3,3,1,2,0,1,1,0,1
1001040100,0,2,0,0,0,5,1,1,2,4
1001040103,4,0,3,2,2,5,7,2,2,2
1001040111,2,0,0,0,1,3,2,2,3,3
1001040113,3,6,4,2,3,5,4,6,4,6
1001040117,1,1,1,2,1,4,7,3,3,3
1001040123,0,1,1,0,1,5,4,1,3,2
1001040125,4,5,2,0,3,5,5,2,3,4
1001040132,0,2,0,0,1,4,2,4,0,5
1001040140,5,3,6,1,3,2,1,2,1,2
1001040142,1,0,1,0,0,5,3,2,3,3
1001040154,1,4,1,2,3,7,2,2,5,5
