Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,0,1,0,0,0,0,0,0,0,0
1000029,0,0,0,0,0,1,0,0,0,0
1000116,0,0,0,1,0,0,0,0,0,0
100024,0,0,0,0,0,0,1,0,0,0
1000306,0,0,0,0,0,0,1,0,0,0
1000316,0,0,1,0,0,0,0,0,0,0
100031,0,0,0,0,0,1,0,0,0,0
1000320,0,0,1,0,0,0,0,0,0,0
1000331,0,0,1,0,0,0,0,0,0,0
1000360176,0,0,0,1,0,0,0,0,0,0
1000360187,0,0,0,1,0,0,0,0,0,0
1000360191,0,1,0,0,0,0,0,0,0,0
1000360205,0,0,1,0,0,0,0,0,0,0
1000360219,0,1,0,0,0,0,0,0,0,0
1000360222,0,0,0,0,0,0,0,1,0,0
1000360381,0,0,0,0,0,0,0,0,0,1
1000360390,0,0,1,0,0,0,0,0,0,0
1000360397,0,1,0,0,0,0,0,0,0,0
1000360408,0,0,0,0,0,0,0,1,0,0
1000360417,0,0,0,0,0,0,0,1,0,0
1000360424,0,0,0,0,0,0,0,0,1,0
1000360430,0,0,1,0,0,0,0,0,0,0
1000370225,0,0,0,0,0,0,0,1,0,0
1000370226,0,0,1,0,0,0,0,0,0,0
1000370236,0,0,0,1,0,0,0,0,0,0
1000370246,0,0,0,0,0,0,1,0,0,0
1000370262,1,0,0,0,0,0,0,0,0,0
1000370271,1,0,0,0,0,0,0,0,0,0
1000370301,0,0,1,0,0,0,0,0,0,0
1000370304,1,0,0,0,0,0,0,0,0,0
1000370313,0,0,1,0,0,0,0,0,0,0
1000370317,0,0,0,1,0,0,0,0,0,0
1000370321,0,0,0,0,0,0,0,0,1,0
1000370325,0,1,0,0,0,0,0,0,0,0
1000380062,0,0,0,0,0,1,0,0,0,0
1000380064,0,0,0,0,0,0,0,1,0,0
1000380065,0,0,0,0,0,0,0,0,0,1
1000380087,0,0,0,0,0,0,1,0,0,0
1000380094,0,0,0,0,0,0,0,0,1,0
1000380095,0,0,1,0,0,0,0,0,0,0
1000380097,0,0,0,0,0,0,0,0,1,0
1000380098,0,1,0,0,0,0,0,0,0,0
1000420071,0,0,0,0,1,0,0,0,0,0
1000420074,0,0,0,0,0,0,0,0,1,0
1000420080,0,0,0,0,0,0,1,0,0,0
1000420135,0,0,0,0,1,0,0,0,0,0
1000420142,0,0,0,0,0,0,1,0,0,0
1000420149,0,0,0,0,0,0,1,0,0,0
1000430019,0,0,0,0,0,0,1,0,0,0
1000430033,0,1,0,0,0,0,0,0,0,0
1000430034,0,0,0,0,0,0,0,0,1,0
1000430040,0,1,0,0,0,0,0,0,0,0
1000430047,0,0,0,1,0,0,0,0,0,0
1000430058,1,0,0,0,0,0,0,0,0,0
1000430107,0,0,0,0,0,0,1,0,0,0
1000430112,0,1,0,0,0,0,0,0,0,0
1000430120,0,0,0,0,0,0,1,0,0,0
1000430136,0,1,0,0,0,0,0,0,0,0
1000430139,0,0,0,0,0,0,0,0,1,0
1000430162,0,0,0,0,0,0,1,0,0,0
1000440012,0,0,0,0,0,0,1,0,0,0
1000440016,1,0,0,0,0,0,0,0,0,0
1000440023,0,0,0,0,1,0,0,0,0,0
1000440032,0,0,0,0,0,0,1,0,0,0
1000440053,0,0,0,0,0,0,1,0,0,0
1000440054,1,0,0,0,0,0,0,0,0,0
1000450045,0,1,0,0,0,0,0,0,0,0
1000453,0,0,0,0,0,0,1,0,0,0
1000460050,0,0,0,0,0,0,1,0,0,0
1000460053,0,0,0,0,0,0,0,0,0,1
1000460054,0,0,0,0,0,0,0,0,0,1
1000460055,0,0,0,0,0,0,0,1,0,0
1000460089,1,0,0,0,0,0,0,0,0,0
1000460091,0,0,0,0,0,0,0,1,0,0
1000462,1,0,0,0,0,0,0,0,0,0
1000469,0,0,0,0,0,0,1,0,0,0
1000470064,0,0,0,0,0,0,0,1,0,0
1000470071,0,1,0,0,0,0,0,0,0,0
1000470072,0,1,0,0,0,0,0,0,0,0
1000470074,0,0,0,0,0,0,0,0,1,0
1000470085,0,0,1,0,0,0,0,0,0,0
1000470086,0,0,0,0,0,0,1,0,0,0
1000470087,0,1,0,0,0,0,0,0,0,0
1000470108,0,0,0,0,0,0,0,0,1,0
1000470111,0,1,0,0,0,0,0,0,0,0
1000470112,0,0,0,0,0,1,0,0,0,0
1000480040,0,0,0,0,0,0,1,0,0,0
1000480046,0,0,0,0,0,0,0,0,1,0
1000480047,0,0,0,0,0,0,1,0,0,0
1000490068,0,0,0,0,0,0,0,0,1,0
1000512,0,0,0,0,0,0,0,1,0,0
1000523,0,0,0,0,0,0,0,0,0,1
1000525,1,0,0,0,0,0,0,0,0,0
100070,0,0,1,0,0,0,0,0,0,0
100072,0,1,0,0,0,0,0,0,0,0
100080,0,0,0,0,0,0,0,0,1,0
100081,0,0,0,0,0,1,0,0,0,0
100092,0,1,0,0,0,0,0,0,0,0
1001000016,0,0,1,0,0,0,0,0,0,0
1001000017,0,1,0,0,0,0,0,0,0,0
1001000029,0,0,0,0,1,0,0,0,0,0
1001000044,0,0,0,0,0,0,1,0,0,0
1001000054,0,0,1,0,0,0,0,0,0,0
1001010020,0,1,0,0,0,0,0,0,0,0
1001010041,0,1,0,0,0,0,0,0,0,0
1001010047,0,0,0,0,0,0,1,0,0,0
1001010060,0,0,0,0,0,0,0,0,0,1
1001010073,0,0,0,1,0,0,0,0,0,0
1001010082,0,0,0,0,1,0,0,0,0,0
1001010086,0,1,0,0,0,0,0,0,0,0
1001010089,0,0,0,0,0,0,0,1,0,0
1001010097,0,0,0,0,0,0,0,1,0,0
1001010098,0,0,0,1,0,0,0,0,0,0
1001010106,0,0,0,0,1,0,0,0,0,0
1001010108,0,1,0,0,0,0,0,0,0,0
1001010113,0,0,0,0,0,0,0,0,1,0
1001010129,1,0,0,0,0,0,0,0,0,0
1001010139,0,1,0,0,0,0,0,0,0,0
1001020025,0,0,0,0,0,0,0,1,0,0
1001020027,0,1,0,0,0,0,0,0,0,0
1001020035,1,0,0,0,0,0,0,0,0,0
1001020036,0,0,0,0,0,0,1,0,0,0
1001020042,0,0,0,0,0,0,1,0,0,0
1001020048,0,0,0,1,0,0,0,0,0,0
1001020050,0,0,0,0,0,1,0,0,0,0
1001020054,0,0,0,0,0,0,0,1,0,0
1001020062,0,0,1,0,0,0,0,0,0,0
1001020065,1,0,0,0,0,0,0,0,0,0
1001020066,0,1,0,0,0,0,0,0,0,0
1001020070,0,0,0,0,0,1,0,0,0,0
1001020073,1,0,0,0,0,0,0,0,0,0
1001020078,0,0,1,0,0,0,0,0,0,0
1001020080,0,0,0,0,0,0,0,1,0,0
1001020083,0,0,1,0,0,0,0,0,0,0
1001020089,0,1,0,0,0,0,0,0,0,0
1001020099,0,1,0,0,0,0,0,0,0,0
1001020112,0,0,0,0,0,0,0,0,1,0
1001020120,0,1,0,0,0,0,0,0,0,0
1001020148,0,0,0,0,0,0,0,0,1,0
1001020157,0,0,0,1,0,0,0,0,0,0
1001020167,0,0,0,0,0,1,0,0,0,0
1001020174,0,0,0,1,0,0,0,0,0,0
1001020185,0,1,0,0,0,0,0,0,0,0
1001020201,0,0,1,0,0,0,0,0,0,0
1001020214,0,0,1,0,0,0,0,0,0,0
1001020222,0,0,0,0,0,0,0,0,1,0
1001020233,1,0,0,0,0,0,0,0,0,0
1001020245,0,0,0,1,0,0,0,0,0,0
100102,0,0,0,0,0,0,0,0,0,1
1001030097,0,1,0,0,0,0,0,0,0,0
1001030105,0,1,0,0,0,0,0,0,0,0
1001030110,0,0,0,0,0,0,1,0,0,0
1001030118,0,0,0,0,0,1,0,0,0,0
1001030127,0,0,0,0,0,0,0,0,1,0
