Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,-,209,-,1380,-,617,-,-,1089,-
1000029,-,902,-,1974,-,-,-,-,777,-
1000116,-,-,-,834,-,-,-,-,548,-
100024,-,-,-,442,-,-,-,-,810,-
1000306,1281,-,-,818,-,-,312,-,1278,-
1000316,960,292,339,505,-,-,-,-,762,-
100031,283,315,592,404,-,-,-,-,-,-
1000320,-,891,-,664,-,-,-,-,315,-
1000331,-,-,-,905,-,843,565,-,573,-
1000453,902,-,-,344,-,-,553,-,810,-
1000462,-,550,1196,663,-,-,242,-,1456,-
1000469,-,-,-,670,-,1032,-,-,469,-
1000512,1077,1169,-,630,-,-,-,-,944,-
1000523,602,520,-,-,-,-,367,-,803,-
1000525,916,-,-,753,-,-,470,-,1146,-
100092,379,863,-,754,-,-,-,-,849,-
1001000016,19,-,-,1629,-,-,-,-,829,-
1001000017,723,-,-,984,-,303,-,-,1207,-
1001000029,516,-,-,-,-,457,-,-,574,-
1001000044,-,-,-,598,-,-,-,-,-,-
1001000054,-,-,-,-,-,-,-,-,760,-
1001010020,-,305,-,716,-,-,-,-,612,-
1001010041,325,-,-,1009,-,-,-,-,555,-
1001010047,-,-,-,1077,-,468,-,-,1345,-
1001010060,-,400,719,1219,-,302,-,-,939,-
1001010073,-,280,-,972,-,-,-,-,987,-
1001010082,-,-,1010,1668,-,259,-,-,817,-
1001010086,689,-,-,1003,-,-,-,951,1114,-
1001010089,194,-,-,430,-,-,-,-,1350,-
1001010097,-,-,-,481,-,351,-,-,743,-
1001010098,-,-,-,1125,-,461,-,-,1469,-
1001010106,384,-,-,664,-,-,-,-,1136,-
1001010108,470,367,-,1506,-,-,-,-,1800,-
1001010113,-,-,-,892,-,-,-,784,925,-
1001010129,-,152,-,1404,-,228,-,-,706,-
1001010139,561,-,-,1091,-,-,-,924,1582,-
1001020025,-,-,956,608,-,-,-,-,1095,-
1001020027,-,-,-,981,-,634,-,708,559,-
1001020035,-,-,-,731,-,-,-,-,1289,-
1001020036,-,-,608,1112,-,287,926,-,1060,-
1001020042,-,-,-,1160,-,-,-,-,906,-
1001020048,644,-,-,925,-,482,845,-,1239,-
1001020050,308,-,-,647,-,645,-,818,926,-
1001020054,-,-,-,479,-,336,-,-,875,-
1001020062,276,1374,-,1218,-,372,-,-,644,-
1001020065,-,-,-,909,-,-,-,-,639,-
1001020066,-,-,976,964,-,346,-,-,1043,-
1001020070,-,-,-,1024,-,815,-,-,1519,-
1001020073,-,-,851,618,-,-,-,-,1006,-
1001020078,777,-,-,813,-,229,-,-,-,-
1001020080,-,-,-,951,-,298,-,-,653,-
1001020083,-,-,-,1107,-,-,-,500,578,-
1001020089,804,-,-,1735,-,-,300,-,1275,-
1001020099,205,1135,-,2219,-,-,-,-,1005,-
1001020112,586,363,-,789,-,646,-,-,1129,-
1001020120,-,-,-,773,-,-,-,-,986,-
1001020148,-,-,-,1729,98,-,-,980,1145,-
1001020157,-,216,-,946,-,-,140,-,661,-
1001020167,-,-,-,858,-,-,-,-,1105,-
1001020174,-,952,-,1646,-,-,-,-,478,-
1001020185,-,616,-,-,-,-,304,-,1033,-
1001020201,287,128,-,743,-,-,-,-,1344,-
1001020214,-,183,760,1099,-,553,-,-,957,-
1001020222,-,1269,-,-,-,-,345,1202,1271,-
1001020233,-,-,-,1468,-,-,-,-,1288,-
1001020245,-,-,-,1241,-,-,1112,-,2000,-
100102,-,-,-,921,-,311,266,-,909,-
1001030097,589,-,-,613,-,-,-,1452,1054,-
1001030105,-,-,-,1076,-,-,-,876,704,-
1001030110,238,-,-,510,-,-,678,-,-,-
1001030118,-,-,-,855,-,-,-,-,836,-
1001030127,-,-,-,1213,-,-,-,1241,1253,-
1001030142,-,-,-,972,-,-,-,-,804,-
1001030146,-,-,-,1061,-,491,-,-,890,-
1001030165,392,-,-,1181,-,-,-,-,1070,-
1001030177,-,-,919,1267,-,-,-,-,1045,-
1001030183,-,-,-,820,-,-,-,-,682,-
1001040016,641,-,-,796,-,-,-,-,944,-
1001040017,286,-,-,970,-,-,-,-,1750,-
1001040024,-,929,602,974,-,-,-,-,661,-
1001040034,-,-,-,710,-,-,-,-,1017,-
1001040041,-,-,-,778,-,-,-,-,481,-
1001040061,-,-,-,1139,-,-,-,-,1074,-
1001040062,835,-,-,1895,-,-,-,-,1397,-
1001040068,-,-,-,1088,-,-,-,-,1096,-
1001040074,-,-,-,806,-,508,-,-,755,-
