Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,0,3,3,3,3,2,2,0,2,0
1000029,2,1,2,2,0,2,1,3,8,1
1000116,1,4,3,5,2,1,1,1,1,0
100024,1,0,1,1,0,2,4,7,3,0
1000306,3,2,3,2,0,1,2,2,4,0
1000316,0,3,1,1,0,5,4,2,5,1
100031,2,2,2,3,1,2,2,3,3,4
1000320,0,3,5,5,0,1,0,1,2,0
1000331,0,2,1,0,0,5,4,2,1,1
1000360176,3,2,3,10,1,0,0,2,3,2
1000360187,3,1,5,4,0,0,1,0,0,0
1000360191,4,2,4,10,2,0,2,3,3,0
1000360205,0,2,3,3,0,0,0,1,1,0
1000360219,0,1,1,3,0,4,2,4,2,0
1000360222,2,3,3,5,0,0,0,2,1,0
1000360381,2,1,3,1,0,1,3,1,1,2
1000360390,3,2,3,1,0,2,4,10,6,0
1000360397,2,3,4,3,0,1,2,4,3,2
1000360408,3,1,3,2,0,2,2,2,5,0
1000360417,2,4,3,3,0,2,2,6,2,1
1000360424,0,7,4,2,0,0,1,1,2,1
1000360430,5,1,6,4,2,1,2,1,3,0
1000370225,0,4,1,4,0,0,2,4,3,1
1000370226,0,2,2,1,1,2,1,7,6,0
1000370236,4,4,3,3,0,2,2,2,2,0
1000370246,2,2,7,2,1,0,1,0,1,0
1000370262,1,4,3,4,0,0,1,1,2,0
1000370271,5,0,3,16,0,0,0,2,1,0
1000370301,2,0,3,4,0,5,6,3,4,0
1000370304,4,3,2,4,0,2,1,2,4,0
1000370313,3,1,1,2,1,1,2,2,18,0
1000370317,0,1,0,1,0,3,0,2,6,0
1000370321,0,0,0,1,0,1,1,4,4,0
1000370325,0,4,5,4,1,0,0,0,0,0
1000380062,0,0,0,3,0,9,6,7,2,0
1000380064,4,5,3,3,1,0,1,4,2,0
1000380065,1,1,0,1,0,5,5,11,5,1
1000380087,0,1,2,2,2,4,8,4,3,0
1000380094,2,2,2,7,0,2,3,6,2,2
1000380095,3,3,4,2,0,4,2,2,2,2
1000380097,2,3,7,6,2,0,2,0,2,0
1000380098,4,5,7,11,0,2,2,2,2,0
1000420071,2,4,3,2,1,3,0,2,2,1
