Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,0,1,2,2,1,1,1,0,1,0
1000029,1,1,2,1,0,1,1,1,3,1
1000116,1,3,2,3,1,1,1,1,1,0
100024,1,0,1,1,0,1,1,2,2,0
1000306,1,1,2,2,0,1,1,1,1,0
1000316,0,1,1,1,0,2,1,1,2,1
100031,1,1,1,2,1,1,1,1,2,1
1000320,0,1,1,3,0,1,0,1,1,0
1000331,0,1,1,0,0,2,2,1,1,1
1000360176,1,1,2,2,1,0,0,1,1,1
1000360187,1,1,1,1,0,0,1,0,0,0
1000360191,3,1,2,2,1,0,1,1,2,0
1000360205,0,1,1,3,0,0,0,1,1,0
1000360219,0,1,1,2,0,1,1,2,2,0
1000360222,1,1,1,2,0,0,0,1,1,0
1000360381,1,1,1,1,0,1,1,1,1,1
1000360390,1,1,2,1,0,1,2,3,2,0
1000360397,1,1,3,2,0,1,1,2,1,1
1000360408,1,1,2,1,0,1,1,1,2,0
1000360417,2,2,2,1,0,2,1,1,1,1
1000360424,0,2,1,1,0,0,1,1,1,1
1000360430,2,1,3,1,1,1,1,1,1,0
1000370225,0,1,1,2,0,0,1,2,1,1
1000370226,0,1,1,1,1,1,1,2,2,0
1000370236,1,1,1,1,0,1,1,1,1,0
1000370246,1,1,1,1,1,0,1,0,1,0
1000370262,1,1,1,2,0,0,1,1,1,0
1000370271,1,0,1,3,0,0,0,1,1,0
1000370301,1,0,1,2,0,1,3,1,2,0
1000370304,2,2,1,3,0,2,1,1,1,0
1000370313,1,1,1,2,1,1,1,2,5,0
1000370317,0,1,0,1,0,1,0,1,4,0
1000370321,0,0,0,1,0,1,1,2,1,0
1000370325,0,1,1,1,1,0,0,0,0,0
1000380062,0,0,0,1,0,2,1,2,1,0
1000380064,2,2,2,1,1,0,1,2,1,0
1000380065,1,1,0,1,0,3,1,3,1,1
1000380087,0,1,1,1,1,2,2,2,2,0
1000380094,1,1,1,3,0,1,1,1,1,1
1000380095,2,2,2,1,0,2,1,1,1,1
1000380097,1,1,2,1,1,0,1,0,2,0
1000380098,1,1,1,3,0,1,1,1,1,0
