Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,193.1k,24.6k,116.0k,0.0k,11.4k,21.9k,21.7k,243.9k,0.0k,13.7k
1000029,49.3k,173.4k,26.1k,1.4k,8.6k,3.5k,122.3k,175.7k,5.1k,10.7k
1000116,48.5k,108.9k,192.7k,21.8k,10.9k,111.9k,14.8k,7.4k,33.2k,3.5k
100024,77.4k,17.7k,54.1k,44.6k,3.2k,91.2k,12.8k,142.1k,4.2k,2.8k
1000306,13.0k,126.4k,208.3k,45.0k,1.4k,154.6k,19.7k,255.1k,11.5k,9.4k
1000316,19.3k,15.5k,162.3k,28.6k,5.5k,56.5k,133.9k,208.9k,38.7k,14.1k
100031,10.4k,10.4k,6.7k,0.1k,18.0k,95.8k,28.5k,234.4k,2.5k,14.6k
1000320,108.8k,176.1k,121.1k,4.1k,4.1k,167.6k,4.4k,10.2k,1.5k,8.7k
1000331,167.0k,114.2k,100.7k,1.1k,9.4k,8.7k,105.3k,129.0k,16.5k,7.8k
1000453,15.3k,14.3k,168.6k,2.9k,9.7k,51.2k,116.3k,187.4k,26.6k,1.7k
1000462,33.3k,144.4k,18.4k,21.4k,5.7k,110.8k,25.2k,169.8k,4.5k,14.3k
1000469,44.2k,12.3k,7.9k,19.3k,28.4k,11.6k,111.6k,148.6k,28.9k,8.7k
1000512,11.9k,179.5k,147.7k,6.3k,3.6k,59.6k,151.0k,177.3k,35.4k,26.8k
1000523,2.2k,137.2k,182.3k,10.5k,10.9k,117.8k,12.2k,204.6k,5.3k,11.8k
1000525,11.8k,30.9k,164.3k,11.1k,10.4k,1.1k,73.7k,129.2k,6.7k,0.9k
100092,10.1k,129.5k,165.3k,1.7k,9.1k,102.9k,16.4k,72.4k,5.0k,5.3k
1001000016,23.1k,35.9k,288.0k,146.2k,17.8k,164.7k,27.1k,368.0k,38.7k,7.7k
1001000017,56.7k,17.2k,149.3k,1.9k,23.0k,31.8k,26.9k,155.5k,111.2k,16.3k
1001000029,10.4k,7.1k,210.7k,4.1k,19.3k,28.0k,20.2k,122.8k,1.0k,8.2k
1001000044,107.8k,23.5k,155.7k,54.7k,1.3k,60.2k,16.4k,145.2k,0.6k,8.6k
1001000054,125.5k,14.1k,119.6k,3.6k,11.1k,107.6k,18.2k,108.7k,56.4k,3.4k
1001010020,127.5k,11.1k,122.2k,13.5k,10.8k,56.1k,16.1k,55.4k,14.7k,6.7k
1001010041,6.9k,21.3k,62.8k,63.5k,16.1k,81.5k,6.0k,75.6k,0.6k,10.5k
1001010047,236.2k,48.8k,339.4k,25.0k,26.1k,19.7k,97.7k,284.9k,128.5k,21.8k
1001010060,262.2k,29.2k,11.7k,6.8k,24.4k,17.1k,11.6k,119.0k,117.7k,6.9k
1001010073,113.0k,28.3k,116.2k,25.9k,6.9k,132.6k,13.8k,165.1k,85.9k,3.1k
1001010082,83.8k,6.6k,8.7k,21.3k,20.2k,16.3k,29.3k,102.5k,81.4k,12.3k
1001010086,52.8k,10.4k,163.0k,5.3k,12.6k,121.9k,11.8k,15.1k,126.8k,36.1k
1001010089,16.3k,12.0k,174.6k,60.2k,3.8k,139.8k,26.6k,14.5k,0.0k,8.1k
1001010097,65.8k,11.4k,79.4k,8.9k,11.9k,5.5k,41.4k,103.0k,2.1k,13.4k
1001010098,179.5k,16.3k,198.4k,81.8k,11.2k,23.4k,23.4k,117.4k,2.1k,6.4k
1001010106,28.6k,35.1k,206.3k,79.9k,10.4k,91.8k,17.2k,165.8k,2.4k,6.5k
1001010108,22.5k,49.4k,251.0k,58.9k,16.2k,149.0k,55.4k,333.0k,45.0k,28.5k
1001010113,148.0k,33.0k,106.9k,0.0k,1.5k,182.3k,22.9k,110.5k,1.9k,10.6k
