Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,10.3k,7.8k,9.7k,3.1k,6.4k,9.3k,10.5k,13.6k,5.1k,5.7k
1000029,9.3k,5.9k,9.2k,5.6k,7.7k,9.2k,8.1k,6.7k,5.8k,8.8k
1000116,6.0k,4.3k,2.5k,3.5k,3.9k,6.7k,7.5k,10.8k,2.7k,9.5k
100024,7.3k,5.4k,7.1k,5.9k,4.1k,9.1k,5.3k,5.4k,4.4k,3.5k
1000306,7.8k,14.6k,8.7k,5.8k,10.0k,9.9k,7.3k,7.9k,6.1k,7.1k
1000316,9.2k,6.2k,11.6k,6.7k,9.0k,5.5k,7.6k,7.5k,5.2k,5.0k
100031,8.5k,8.8k,8.0k,6.1k,8.9k,0.7k,1.3k,1.6k,2.3k,3.1k
1000320,10.1k,3.4k,4.2k,1.6k,4.5k,9.1k,10.5k,6.5k,6.5k,9.8k
1000331,5.1k,10.1k,9.4k,3.7k,5.4k,4.3k,9.0k,6.2k,5.1k,10.9k
1000360176,8.3k,6.6k,6.2k,6.0k,10.3k,10.8k,5.5k,10.2k,6.9k,4.7k
1000360187,6.4k,1.4k,3.6k,2.9k,1.5k,9.5k,5.5k,3.0k,6.7k,2.4k
1000360191,6.7k,3.4k,2.9k,4.5k,4.0k,8.0k,7.5k,8.8k,8.3k,8.5k
1000360205,7.5k,5.9k,11.3k,4.0k,4.3k,7.9k,5.9k,8.1k,8.1k,6.7k
1000360219,4.7k,10.4k,6.4k,4.9k,4.9k,7.6k,6.4k,10.9k,8.3k,9.7k
1000360222,9.8k,2.9k,5.1k,2.6k,3.8k,7.1k,5.4k,2.9k,6.6k,3.4k
1000360381,10.2k,6.9k,10.1k,7.3k,11.2k,11.5k,3.6k,3.4k,5.0k,5.5k
1000360390,11.2k,8.4k,10.7k,18.2k,10.1k,18.0k,12.4k,15.9k,10.2k,7.3k
1000360397,6.4k,5.4k,5.2k,3.8k,4.8k,10.4k,6.9k,14.6k,7.1k,10.4k
1000360408,7.9k,10.8k,6.7k,10.0k,6.1k,6.5k,7.8k,2.9k,5.8k,6.9k
1000360417,12.4k,6.0k,11.2k,6.9k,8.8k,12.3k,12.5k,10.1k,15.8k,6.5k
1000360424,7.0k,4.7k,5.1k,6.5k,5.1k,4.8k,2.1k,5.4k,2.1k,4.0k
1000360430,5.4k,4.4k,5.2k,7.2k,8.0k,16.1k,6.2k,5.3k,7.1k,4.0k
1000370225,4.8k,7.3k,6.4k,4.2k,5.1k,10.2k,6.0k,7.5k,6.1k,5.4k
1000370226,3.8k,8.2k,6.4k,8.1k,2.8k,7.7k,6.8k,5.9k,7.0k,8.5k
1000370236,4.7k,3.0k,3.2k,3.2k,3.3k,7.5k,4.8k,9.9k,9.5k,5.0k
1000370246,7.3k,5.4k,7.3k,4.9k,2.1k,5.2k,5.5k,12.1k,5.5k,11.9k
1000370262,6.2k,4.1k,8.9k,1.5k,2.5k,6.8k,3.7k,1.8k,5.2k,4.3k
1000370271,3.9k,3.0k,3.7k,5.0k,4.0k,7.5k,5.3k,5.5k,5.1k,7.8k
1000370301,8.3k,13.3k,8.1k,8.4k,8.6k,21.6k,21.8k,20.2k,18.2k,26.8k
1000370304,9.0k,8.8k,10.1k,4.6k,12.6k,9.9k,5.9k,7.9k,5.6k,3.6k
1000370313,11.0k,5.5k,11.4k,6.1k,10.0k,5.2k,6.6k,4.4k,5.4k,4.0k
1000370317,10.6k,12.6k,11.1k,10.3k,4.2k,3.9k,2.8k,4.8k,4.4k,2.9k
1000370321,2.2k,1.7k,4.4k,1.0k,1.6k,0.8k,1.1k,1.3k,0.6k,0.9k
1000370325,11.4k,2.9k,5.3k,3.1k,6.2k,5.8k,4.3k,5.5k,7.1k,6.9k
1000380062,4.3k,2.7k,2.6k,1.4k,3.3k,2.7k,2.9k,1.8k,1.8k,1.2k
1000380064,3.5k,7.5k,4.2k,3.3k,3.2k,6.7k,5.9k,5.4k,4.6k,5.3k
1000380065,3.7k,6.1k,4.5k,3.7k,3.0k,2.0k,3.4k,2.4k,1.7k,2.4k
1000380087,7.6k,4.4k,5.5k,6.4k,4.8k,4.9k,1.7k,2.0k,4.4k,6.7k
1000380094,9.3k,8.2k,6.4k,7.7k,9.1k,17.3k,5.5k,11.4k,10.2k,15.2k
1000380095,14.1k,7.5k,5.9k,8.2k,8.1k,10.2k,9.3k,7.0k,7.3k,7.8k
1000380097,10.2k,6.9k,6.5k,4.4k,6.9k,13.8k,8.9k,11.0k,11.3k,10.9k
1000380098,10.4k,5.2k,8.7k,3.1k,7.9k,11.3k,8.6k,10.5k,8.5k,8.5k
1000420071,7.8k,5.6k,6.5k,6.3k,4.2k,19.9k,9.7k,5.3k,8.3k,7.4k
1000420074,4.1k,5.5k,4.1k,4.6k,2.8k,6.9k,9.1k,6.3k,6.1k,9.1k
1000420080,7.5k,5.4k,5.7k,9.9k,4.9k,11.7k,6.8k,4.8k,4.4k,5.2k
1000420135,14.1k,6.3k,8.6k,7.0k,8.9k,6.0k,8.5k,8.1k,5.7k,3.4k
1000420142,10.2k,6.0k,5.4k,7.7k,7.1k,3.5k,2.0k,0.5k,2.8k,2.2k
1000420149,6.3k,4.4k,4.3k,5.3k,8.7k,9.7k,3.2k,2.0k,2.2k,4.8k
1000430019,18.9k,7.9k,8.6k,10.5k,11.6k,12.5k,7.2k,9.4k,5.2k,6.3k
1000430033,4.9k,1.9k,3.3k,2.4k,1.8k,5.5k,2.0k,2.4k,4.8k,3.3k
1000430034,10.3k,6.6k,6.5k,5.2k,6.4k,11.1k,3.2k,6.5k,3.7k,10.3k
1000430040,15.0k,6.2k,5.4k,6.9k,8.7k,16.4k,10.8k,9.3k,6.5k,5.7k
1000430047,4.8k,4.9k,3.4k,2.2k,5.1k,3.5k,2.0k,4.2k,3.3k,2.8k
1000430058,11.6k,6.8k,3.6k,5.4k,3.6k,6.0k,4.2k,3.7k,5.0k,3.3k
1000430107,5.7k,1.4k,1.8k,2.0k,2.6k,1.6k,0.5k,1.9k,1.9k,1.5k
1000430112,7.1k,7.8k,3.1k,3.1k,3.7k,13.8k,9.6k,13.8k,11.6k,8.5k
1000430120,9.9k,3.0k,2.4k,2.1k,6.8k,7.9k,3.1k,6.4k,3.3k,2.9k
1000430136,4.7k,3.5k,2.6k,2.4k,1.2k,5.9k,1.8k,1.1k,2.9k,4.3k
1000430139,9.9k,6.6k,7.0k,4.0k,5.4k,13.4k,5.2k,5.1k,5.9k,4.4k
1000430162,12.8k,6.2k,5.5k,8.8k,6.7k,13.0k,10.1k,8.6k,7.5k,6.6k
1000440012,11.7k,7.0k,5.8k,2.3k,8.4k,19.0k,12.7k,14.6k,11.4k,9.1k
1000440016,5.4k,3.8k,2.8k,3.8k,4.9k,5.7k,6.6k,5.9k,3.9k,4.9k
1000440023,3.9k,4.1k,2.2k,6.6k,3.3k,9.6k,7.5k,7.4k,3.8k,4.9k
1000440032,8.8k,3.9k,3.5k,4.0k,5.8k,3.2k,5.2k,2.3k,3.5k,3.2k
1000440053,16.0k,11.5k,6.8k,8.5k,12.0k,13.2k,13.5k,10.4k,13.2k,9.3k
1000440054,9.2k,13.0k,8.1k,8.1k,8.2k,10.4k,4.8k,6.4k,5.7k,2.9k
1000450045,11.4k,6.1k,2.6k,4.3k,4.6k,7.6k,5.9k,8.0k,8.7k,5.9k
1000453,7.7k,9.5k,10.2k,7.8k,5.4k,3.5k,7.6k,5.5k,3.0k,6.4k
1000460050,1.2k,1.8k,0.9k,1.3k,1.6k,3.8k,3.9k,2.1k,3.5k,4.9k
1000460053,12.3k,7.8k,6.4k,8.3k,4.5k,9.2k,4.4k,4.7k,4.9k,5.6k
1000460054,2.5k,2.0k,3.2k,2.8k,2.3k,4.1k,4.0k,5.2k,4.4k,3.2k
1000460055,5.6k,3.6k,2.7k,2.4k,4.5k,2.4k,4.5k,3.9k,2.1k,7.2k
1000460089,3.0k,4.1k,5.0k,3.5k,3.2k,6.9k,3.5k,4.1k,4.4k,2.9k
1000460091,7.7k,6.5k,6.2k,5.1k,4.1k,8.6k,4.7k,3.5k,7.7k,5.8k
1000462,7.5k,8.1k,9.2k,3.1k,7.7k,7.8k,6.2k,5.5k,5.8k,5.6k
1000469,7.5k,6.3k,7.3k,5.1k,8.2k,4.5k,4.3k,2.7k,2.2k,2.4k
1000470064,6.6k,3.7k,9.7k,5.3k,8.7k,9.0k,3.7k,5.3k,5.4k,4.2k
1000470071,13.9k,6.6k,9.4k,9.4k,6.4k,11.5k,6.2k,6.1k,6.7k,9.0k
1000470072,7.4k,4.7k,5.2k,5.3k,7.0k,11.6k,4.6k,5.5k,8.1k,4.0k
1000470074,6.2k,4.5k,4.8k,5.6k,7.1k,11.2k,6.7k,6.5k,6.8k,6.3k
1000470085,5.5k,6.8k,5.4k,3.5k,4.8k,3.4k,3.2k,2.3k,5.3k,3.0k
1000470086,13.1k,10.3k,12.1k,12.3k,9.2k,10.7k,8.8k,7.5k,9.4k,9.0k
1000470087,2.6k,3.5k,1.0k,3.0k,2.7k,10.9k,7.5k,9.9k,3.9k,3.4k
1000470108,5.4k,2.6k,3.6k,2.3k,2.4k,10.4k,4.1k,9.6k,7.6k,9.8k
1000470111,7.3k,8.6k,7.2k,6.7k,8.3k,4.5k,4.2k,7.3k,9.9k,7.2k
1000470112,12.8k,7.3k,9.1k,7.7k,6.5k,16.7k,7.7k,9.7k,9.1k,9.1k
1000480040,3.9k,1.6k,0.7k,2.1k,1.1k,2.3k,4.4k,2.7k,1.7k,3.1k
1000480046,2.9k,3.5k,3.1k,5.1k,3.7k,7.4k,2.2k,4.8k,1.9k,3.4k
1000480047,4.7k,1.4k,2.2k,3.3k,1.6k,7.8k,4.3k,4.1k,5.1k,6.4k
1000490068,7.8k,7.5k,6.9k,6.2k,5.4k,12.3k,8.6k,11.1k,9.4k,9.1k
1000512,7.0k,16.1k,13.7k,6.6k,7.9k,5.6k,4.2k,8.7k,5.1k,9.1k
1000523,13.3k,9.8k,7.8k,6.3k,6.8k,10.0k,8.8k,11.7k,6.8k,11.1k
1000525,3.4k,3.8k,5.8k,3.0k,2.5k,5.0k,4.7k,7.0k,3.0k,5.1k
100070,3.9 mil,9.4 mil,8.5 mil,1.2 mil,6.8 mil,22.1 mil,8.2 mil,7.1 mil,4.8 mil,3.1 mil
100072,26.9 mil,14.7 mil,8.3 mil,6.6 mil,12.9 mil,16.3 mil,23.1 mil,13.7 mil,8.9 mil,15.8 mil
100080,5.7 mil,6.0 mil,5.2 mil,4.9 mil,5.7 mil,13.3 mil,9.5 mil,6.2 mil,4.0 mil,6.5 mil
100081,10.7 mil,6.8 mil,8.7 mil,5.2 mil,9.9 mil,16.1 mil,7.5 mil,7.3 mil,6.1 mil,10.4 mil
100092,5.7k,2.6k,3.8k,3.9k,4.0k,5.2k,7.3k,8.4k,3.9k,10.5k
1001000016,14.0k,10.4k,10.2k,5.9k,8.3k,3.7k,14.3k,5.1k,7.7k,6.2k
1001000017,9.6k,5.0k,8.2k,6.4k,6.7k,11.7k,5.6k,11.3k,8.3k,6.5k
1001000029,3.6k,4.1k,4.5k,2.1k,2.0k,3.9k,6.1k,5.7k,3.1k,2.4k
1001000044,4.6k,4.2k,3.8k,4.9k,2.9k,6.9k,5.3k,6.2k,4.8k,7.4k
1001000054,10.1k,2.5k,5.2k,2.6k,2.5k,6.3k,3.6k,6.5k,8.0k,2.3k
1001010020,3.7k,3.6k,6.0k,3.4k,2.1k,4.5k,4.3k,8.1k,4.3k,6.6k
1001010041,5.5k,2.4k,3.6k,3.3k,5.7k,6.0k,4.8k,10.2k,8.0k,4.4k
1001010047,10.7k,14.0k,3.4k,2.2k,10.3k,8.5k,19.0k,8.6k,12.2k,11.0k
1001010060,5.4k,6.2k,6.3k,5.9k,5.6k,6.2k,5.0k,6.0k,6.3k,6.7k
1001010073,9.6k,7.6k,10.3k,7.4k,9.6k,8.2k,8.1k,6.3k,7.0k,5.4k
1001010082,7.9k,5.1k,7.0k,5.9k,6.0k,7.5k,3.9k,6.4k,5.5k,6.2k
1001010086,13.9k,7.1k,8.7k,8.0k,8.5k,5.9k,8.6k,4.7k,3.5k,3.8k
1001010089,3.4k,2.6k,1.8k,3.1k,2.9k,5.6k,4.0k,8.1k,5.5k,4.4k
1001010097,6.1k,5.5k,8.6k,3.4k,2.7k,3.2k,3.2k,3.8k,3.3k,4.3k
1001010098,6.0k,2.9k,1.4k,5.3k,2.8k,10.6k,10.5k,16.2k,11.9k,7.2k
1001010106,9.5k,9.6k,6.9k,4.2k,4.3k,16.9k,11.9k,7.0k,9.5k,5.3k
1001010108,18.8k,11.1k,11.7k,11.5k,21.7k,10.3k,12.4k,8.5k,7.7k,9.2k
1001010113,13.1k,4.8k,9.5k,6.2k,6.6k,8.8k,4.8k,5.0k,2.0k,3.7k
1001010129,4.3k,4.8k,8.5k,0.1k,3.8k,8.7k,7.2k,6.3k,8.2k,9.6k
1001010139,8.7k,5.9k,5.0k,4.1k,7.0k,7.7k,5.6k,2.8k,7.1k,2.5k
1001020025,13.2k,12.0k,8.2k,9.1k,9.4k,8.1k,8.5k,13.9k,5.4k,7.4k
1001020027,5.4k,2.4k,3.9k,2.5k,2.6k,5.6k,4.8k,8.8k,4.9k,6.9k
1001020035,9.6k,5.2k,13.5k,11.1k,9.0k,9.8k,3.9k,5.5k,5.0k,6.3k
1001020036,4.4k,7.6k,5.8k,3.1k,8.8k,7.3k,8.8k,5.9k,6.1k,6.9k
1001020042,6.0k,9.4k,1.6k,4.2k,3.0k,13.7k,9.0k,10.9k,3.4k,8.7k
1001020048,18.7k,19.5k,8.7k,7.4k,15.6k,6.0k,7.9k,3.6k,7.0k,15.9k
1001020050,9.5k,9.0k,7.4k,5.3k,5.0k,7.2k,4.6k,9.0k,3.3k,2.0k
1001020054,7.3k,8.7k,6.0k,4.5k,7.6k,8.9k,8.1k,7.7k,6.9k,9.1k
1001020062,6.8k,5.4k,7.4k,10.9k,9.9k,7.4k,6.2k,11.2k,8.4k,8.4k
1001020065,3.7k,3.6k,4.5k,4.4k,2.5k,6.7k,4.0k,3.9k,3.3k,3.4k
1001020066,7.1k,6.0k,8.7k,4.0k,7.5k,6.7k,4.4k,5.1k,4.7k,2.7k
1001020070,15.2k,18.1k,15.5k,9.5k,22.4k,16.8k,22.1k,12.8k,10.2k,15.3k
1001020073,14.0k,5.7k,6.5k,6.5k,6.4k,8.2k,3.9k,5.5k,5.6k,5.4k
