Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,3.4k,11.8k,20.4k,4.1k,4.5k,17.1k,1.7k,11.6k,0.4k,5.4k
1000029,5.5k,21.4k,4.3k,0.7k,5.8k,3.5k,7.6k,19.3k,3.0k,3.6k
1000116,2.2k,10.8k,19.4k,1.8k,2.9k,9.9k,1.2k,4.4k,1.2k,2.0k
100024,8.6k,3.2k,7.1k,6.2k,2.0k,7.6k,0.6k,19.1k,0.9k,1.7k
1000306,5.8k,11.9k,17.6k,1.1k,1.3k,10.5k,0.9k,26.0k,4.0k,3.6k
1000316,5.8k,1.3k,19.0k,1.5k,2.1k,5.0k,14.0k,14.2k,3.9k,5.5k
100031,0.8k,0.2k,0.5k,0.1k,6.0k,9.3k,1.0k,23.9k,1.1k,5.1k
1000320,10.7k,11.3k,16.8k,1.5k,2.1k,13.0k,0.3k,3.7k,0.6k,4.6k
1000331,6.2k,12.8k,10.0k,0.4k,4.5k,4.0k,9.5k,17.3k,0.2k,1.9k
1000360176,17.7k,0.7k,15.6k,0.1k,4.0k,17.4k,5.3k,2.5k,6.3k,4.7k
1000360187,16.1k,0.2k,0.5k,7.3k,2.8k,5.3k,3.7k,4.0k,0.7k,2.0k
1000360191,13.8k,1.1k,2.5k,19.1k,4.5k,4.0k,0.5k,8.8k,4.2k,2.5k
1000360205,14.3k,0.1k,17.9k,1.4k,2.9k,2.9k,1.1k,21.7k,5.5k,1.7k
1000360219,7.8k,0.2k,28.2k,3.5k,2.8k,14.3k,0.7k,2.5k,11.5k,2.3k
1000360222,11.5k,0.1k,2.2k,6.1k,5.0k,8.4k,0.3k,10.5k,1.2k,2.7k
1000360381,12.6k,2.5k,12.0k,0.6k,1.3k,6.8k,0.1k,29.0k,1.4k,8.5k
1000360390,20.0k,1.0k,23.1k,15.3k,3.9k,18.8k,1.1k,34.2k,0.0k,4.5k
1000360397,13.4k,5.8k,19.7k,3.2k,6.4k,3.5k,0.6k,18.0k,0.1k,2.8k
1000360408,23.4k,0.1k,0.4k,3.3k,1.9k,11.7k,5.0k,0.0k,21.3k,3.4k
1000360417,25.2k,0.7k,1.8k,24.3k,5.3k,8.2k,7.0k,24.4k,0.7k,4.1k
1000360424,7.2k,1.0k,7.1k,1.3k,1.7k,6.0k,0.5k,14.0k,5.9k,2.0k
1000360430,28.4k,1.5k,1.7k,3.0k,4.3k,4.3k,2.9k,0.0k,15.7k,6.3k
1000370225,0.0k,1.5k,19.0k,9.0k,5.7k,2.8k,0.6k,16.6k,3.0k,4.2k
1000370226,4.5k,0.6k,0.3k,25.4k,4.0k,2.1k,4.1k,17.5k,4.0k,1.7k
1000370236,18.3k,7.7k,0.8k,5.9k,3.9k,7.2k,0.7k,0.0k,5.9k,2.9k
1000370246,1.9k,8.0k,16.4k,10.1k,3.8k,9.0k,0.1k,12.1k,2.4k,3.4k
1000370262,3.3k,0.4k,11.4k,4.3k,2.5k,6.2k,0.5k,13.2k,0.9k,1.9k
1000370271,8.1k,0.9k,3.4k,14.9k,3.8k,7.8k,0.1k,5.7k,2.1k,3.2k
1000370301,33.3k,6.2k,43.3k,19.8k,5.6k,30.6k,1.1k,1.6k,9.7k,3.5k
1000370304,2.3k,4.1k,14.2k,9.6k,2.6k,12.8k,0.2k,19.4k,1.9k,10.4k
1000370313,9.5k,0.9k,8.6k,3.5k,2.3k,18.3k,0.8k,19.8k,2.5k,2.5k
1000370317,2.4k,0.6k,6.6k,5.4k,3.7k,16.5k,0.3k,16.6k,12.3k,3.2k
1000370321,0.5k,0.1k,1.2k,1.7k,0.9k,2.5k,0.2k,6.5k,0.1k,1.5k
1000370325,2.0k,0.3k,13.5k,10.2k,3.6k,9.7k,0.2k,14.6k,3.3k,0.7k
1000380062,3.4k,1.1k,2.4k,1.7k,1.6k,9.3k,1.8k,1.8k,0.0k,1.2k
1000380064,11.9k,2.6k,1.0k,8.4k,4.0k,6.4k,0.4k,10.3k,1.9k,1.9k
1000380065,2.7k,0.6k,5.8k,0.8k,1.9k,7.9k,1.3k,9.6k,0.2k,2.0k
1000380087,0.5k,0.5k,8.2k,4.2k,6.3k,20.9k,0.3k,0.7k,3.4k,3.3k
1000380094,29.3k,0.6k,1.6k,18.8k,8.3k,10.6k,0.7k,18.8k,5.5k,4.2k
