Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,4,84,12,24,-,18,94,16,27,-
1000029,10,129,23,25,-,5,109,24,45,1
1000116,16,81,32,50,2,10,88,11,9,2
100024,1,42,9,11,-,3,63,13,10,-
1000306,42,117,27,33,1,8,93,20,16,-
1000316,2,102,13,12,1,13,119,22,20,-
100031,6,60,22,16,1,3,78,16,21,2
1000320,1,139,10,23,-,12,120,6,11,1
1000331,10,104,3,13,2,14,107,16,10,-
1000453,6,84,12,11,-,5,114,14,22,-
1000462,5,135,33,19,-,2,110,9,10,-
1000469,5,95,5,18,1,5,97,21,9,-
1000512,8,143,12,4,-,21,117,18,10,-
1000523,15,125,11,6,-,-,145,20,25,1
1000525,7,105,18,16,1,16,68,12,4,-
100092,1,92,8,20,1,6,68,12,11,-
1001000016,6,135,26,34,1,13,99,16,24,-
1001000017,18,71,16,44,-,10,105,16,43,-
1001000029,10,103,10,19,-,2,79,32,27,1
1001000044,9,67,15,17,-,1,67,25,20,-
1001000054,5,64,14,40,-,3,66,10,11,-
1001010020,9,78,8,17,-,4,73,5,28,-
1001010041,1,71,11,16,2,-,73,3,16,1
1001010047,11,110,23,59,2,30,98,17,42,1
1001010060,18,104,23,42,2,12,85,8,15,-
1001010073,4,103,9,40,2,-,55,11,34,-
1001010082,-,93,11,34,2,11,104,12,11,-
1001010086,13,53,16,46,-,7,78,30,47,1
1001010089,11,63,20,22,-,14,69,25,35,-
1001010097,2,59,13,15,1,1,52,7,6,-
1001010098,23,78,9,34,1,20,54,34,39,-
1001010106,5,94,15,11,-,6,65,31,33,1
1001010108,13,105,27,53,2,16,122,19,68,2
1001010113,2,78,13,49,1,9,88,24,16,-
1001010129,11,90,11,52,1,3,70,14,22,-
1001010139,3,79,10,62,-,9,88,20,52,-
1001020025,10,118,25,33,2,14,122,40,34,-
1001020027,4,98,4,6,-,10,68,27,20,-
1001020035,35,74,21,10,1,10,82,10,24,1
1001020036,10,72,15,35,4,4,88,7,63,1
1001020042,20,98,58,37,-,7,58,20,28,-
1001020048,18,117,19,47,2,6,116,10,23,-
1001020050,1,51,3,18,-,-,77,34,25,1
1001020054,1,69,15,11,-,3,84,21,27,2
1001020062,4,108,10,38,-,10,72,64,13,-
1001020065,7,98,8,11,-,9,59,13,19,-
1001020066,3,83,23,34,-,10,83,22,12,-
1001020070,-,97,14,63,-,15,106,26,70,-
1001020073,4,83,39,30,2,10,76,24,34,-
1001020078,7,69,18,24,-,10,56,5,7,-
1001020080,1,110,13,11,-,1,87,15,9,-
1001020083,7,63,10,32,-,7,63,18,2,-
1001020089,8,122,14,45,-,18,92,21,47,4
1001020099,9,130,13,49,-,8,82,31,40,1
1001020112,6,77,16,25,1,8,82,36,25,-
1001020120,2,90,13,7,-,21,75,11,51,-
1001020148,5,61,59,42,-,18,84,32,68,-
1001020157,9,75,12,23,1,-,86,10,12,-
1001020167,4,71,27,13,-,9,65,15,51,2
1001020174,4,97,25,17,-,3,66,5,7,-
1001020185,-,100,14,32,-,6,80,21,52,2
1001020201,9,91,20,18,1,6,79,2,8,-
1001020214,22,59,11,91,3,4,81,26,41,-
1001020222,2,114,32,53,-,14,82,30,35,1
1001020233,3,67,41,51,-,8,91,24,24,2
1001020245,5,66,13,48,-,4,89,34,34,2
100102,4,88,19,23,1,11,62,41,30,-
1001030097,1,95,7,55,-,1,106,37,32,1
1001030105,5,83,11,52,3,12,108,43,24,1
1001030110,10,60,8,4,1,9,94,-,9,-
1001030118,9,72,3,5,3,3,78,26,47,-
1001030127,7,78,12,43,-,28,95,23,39,2
1001030142,-,70,7,54,2,8,124,15,8,-
1001030146,8,105,34,34,1,7,75,14,20,-
1001030165,4,107,13,43,-,8,82,16,17,-
1001030177,4,128,18,22,-,7,76,44,47,-
1001030183,-,73,10,28,-,7,66,29,27,-
1001040016,16,99,40,19,-,7,101,6,26,2
1001040017,17,97,13,32,-,12,88,12,23,-
1001040024,5,127,1,26,-,8,92,6,19,-
1001040034,7,77,6,15,-,8,99,17,22,-
1001040041,8,56,14,17,1,3,63,4,3,1
1001040061,19,121,10,17,1,11,85,17,24,1
1001040062,15,129,46,21,-,4,69,42,40,-
1001040068,10,78,22,53,2,25,98,20,30,2
1001040074,7,68,9,27,1,2,54,11,17,2
1001040080,7,76,13,16,-,2,58,9,17,-
1001040096,2,66,8,44,-,5,107,4,11,-
1001040103,19,105,27,32,1,17,93,71,19,-
1001040111,-,81,29,4,-,-,75,29,3,-
1001040117,5,113,21,27,1,17,61,7,9,-
1001040123,7,72,26,15,-,25,59,2,8,-
1001040132,13,90,12,16,-,1,81,13,5,-
1001040142,12,129,6,12,1,9,70,3,4,1
1001040154,12,81,19,33,-,2,120,9,23,-
1001040161,1,115,49,49,-,20,115,44,53,-
1001040172,29,78,25,19,2,8,69,25,9,1
1001050098,4,60,26,23,1,12,71,7,20,-
1001050114,6,77,10,4,-,12,61,10,14,-
1001050123,12,70,7,16,-,20,88,14,32,-
1001050133,14,68,14,26,1,10,82,9,21,-
1001050144,6,98,37,28,1,2,69,10,34,1
1001050156,7,68,16,59,1,3,63,27,40,-
1001050166,10,80,26,42,-,4,94,7,33,-
1001050175,8,80,19,58,-,10,64,33,14,-
1001050188,16,121,46,67,-,8,106,20,42,-
1001050209,14,137,22,23,-,14,106,23,25,2
1001070005,11,104,20,33,-,3,77,11,54,-
1001070013,7,99,41,33,5,4,87,18,70,-
1001070015,9,69,21,6,-,16,101,8,40,-
1001070017,10,72,15,42,1,-,82,10,22,-
1001070027,6,99,27,74,-,19,133,35,71,1
1001070035,4,51,18,49,-,20,103,8,36,2
1001070036,9,63,20,62,-,4,88,21,27,3
1001070042,7,84,76,24,2,21,134,12,15,2
1001070044,10,92,6,13,-,4,94,11,3,-
1001070051,9,99,27,62,-,7,115,28,44,-
1001070059,25,82,18,38,-,6,81,36,77,1
1001070068,14,149,8,22,1,20,91,28,20,1
1001070069,5,103,19,16,1,13,97,17,24,-
1001070070,13,119,24,40,1,6,84,14,44,-
1001070075,-,65,6,15,2,3,67,41,20,1
1001070081,3,68,8,21,1,6,72,13,4,-
1001070082,4,112,12,46,1,13,79,21,25,-
1001070089,7,89,19,19,1,3,64,3,6,-
1001070100,12,82,51,45,1,4,57,46,17,1
1001080064,10,65,24,33,-,7,114,25,18,-
1001080068,25,119,25,20,1,3,102,10,40,-
1001080081,8,93,19,41,1,9,114,25,30,-
1001080093,12,102,38,25,1,21,51,15,45,-
1001080103,9,59,35,7,-,12,85,23,34,-
1001080179,5,58,31,20,-,9,66,9,15,-
1001080182,8,122,24,22,2,12,80,20,41,-
1001080201,3,54,42,13,-,28,74,33,19,-
1001080211,1,95,44,13,-,10,72,9,15,-
1001080217,6,85,10,14,-,3,80,26,7,-
1001080228,8,101,31,23,2,16,81,33,48,-
1001080232,13,76,12,5,2,4,81,13,4,-
