Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,8,27,20,4,-,-,10,3,-,-
1000029,-,15,3,-,-,-,15,-,3,-
1000116,5,22,9,24,2,2,17,1,2,-
100024,-,-,-,-,-,-,12,3,8,-
1000306,11,31,5,9,1,-,5,-,-,-
1000316,-,7,-,-,-,6,20,6,10,-
100031,-,4,3,1,-,1,10,1,10,1
1000320,-,22,4,-,-,-,18,2,-,1
1000331,1,12,-,-,2,-,20,1,2,-
1000360176,2,7,1,4,-,-,11,1,-,-
1000360187,3,32,15,2,-,-,1,-,2,-
1000360191,4,22,19,3,-,7,12,1,3,-
1000360205,2,31,3,7,-,5,12,1,1,-
1000360219,3,12,5,2,-,2,12,9,5,1
1000360222,6,11,5,-,-,-,6,1,4,-
1000360381,5,-,2,3,-,-,23,2,3,-
1000360390,-,10,-,-,-,1,21,17,12,2
1000360397,3,16,1,7,-,-,3,-,-,-
1000360408,-,6,1,4,-,-,23,11,11,-
1000360417,-,15,5,6,-,2,11,3,3,1
1000360424,2,37,9,11,-,-,9,-,-,-
1000360430,-,17,3,4,2,2,10,3,1,-
1000370225,15,8,1,6,-,-,9,1,3,-
1000370226,1,13,1,2,-,1,11,16,6,-
1000370236,4,12,2,10,-,-,7,-,1,-
1000370246,1,30,3,15,1,-,-,1,2,-
1000370262,-,6,-,1,-,-,-,-,3,1
1000370271,2,16,17,7,-,-,10,-,2,-
1000370301,-,10,5,17,-,8,59,10,19,-
1000370304,1,10,2,5,1,-,9,-,3,-
1000370313,-,6,-,2,-,-,11,22,17,2
1000370317,-,6,-,4,-,6,16,2,3,-
1000370321,-,7,-,-,-,2,18,3,1,-
1000370325,8,26,8,12,-,2,3,-,4,-
1000380062,2,6,1,-,-,1,22,5,1,-
1000380064,-,18,13,4,-,-,7,-,5,-
1000380065,-,6,-,2,-,-,18,1,4,-
1000380087,-,3,-,-,-,2,30,1,9,-
1000380094,4,12,2,13,-,2,16,1,12,-
1000380095,2,5,1,5,-,6,44,6,16,-
1000380097,1,25,11,16,1,2,6,-,2,-
1000380098,1,11,10,9,-,-,13,2,-,-
1000420071,2,17,5,11,-,-,6,4,13,-
1000420074,4,23,4,6,-,-,7,-,1,-
1000420080,4,13,10,15,-,1,7,1,5,-
1000420135,1,5,-,-,-,1,29,6,7,-
1000420142,-,2,4,1,-,2,8,4,1,1
1000420149,-,5,-,-,-,3,22,-,5,-
1000430019,2,4,4,8,-,-,31,3,17,-
1000430033,-,14,3,1,-,-,7,-,1,-
1000430034,-,6,-,2,-,7,24,2,9,-
1000430040,4,11,3,11,-,12,18,4,11,-
1000430047,1,14,8,2,1,1,5,-,-,-
1000430058,1,8,-,15,-,1,6,1,1,-
1000430107,-,3,-,1,-,2,27,3,1,-
1000430112,3,26,10,12,-,-,5,-,1,-
1000430120,4,21,16,-,-,2,4,-,-,-
1000430136,-,18,-,2,1,-,2,-,1,-
1000430139,1,9,-,-,-,3,17,7,16,1
1000430162,3,32,4,7,-,3,8,13,8,-
1000440012,3,11,15,22,-,2,16,1,2,2
1000440016,5,15,2,6,-,-,10,-,3,-
