Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,3,81,11,22,-,13,71,13,24,-
1000029,10,114,20,25,-,5,94,24,42,1
1000116,11,59,23,26,-,8,71,10,7,2
100024,1,42,9,11,-,3,51,10,2,-
1000306,31,86,22,24,-,8,88,20,16,-
1000316,2,95,13,12,1,7,99,16,10,-
100031,6,56,19,15,1,2,68,15,11,1
1000320,1,117,6,23,-,12,102,4,11,-
1000331,9,92,3,13,-,14,87,15,8,-
1000453,6,76,12,11,-,4,87,9,9,-
1000462,1,93,28,17,-,2,94,9,10,-
1000469,5,94,5,18,-,2,79,14,8,-
1000512,8,112,12,4,-,4,88,14,4,-
1000523,15,113,11,6,-,-,111,16,14,-
1000525,1,70,6,12,1,16,59,12,4,-
100092,-,78,4,17,1,6,68,12,11,-
1001000016,2,102,19,22,1,12,94,13,22,-
1001000017,13,65,11,40,-,10,81,11,37,-
1001000029,3,93,8,9,-,2,75,28,27,1
1001000044,8,65,14,17,-,1,48,19,10,-
1001000054,5,51,9,21,-,3,61,10,7,-
1001010020,5,69,8,14,-,4,69,5,28,-
1001010041,-,56,7,11,-,-,71,3,16,1
1001010047,8,94,18,49,1,30,86,16,39,1
1001010060,15,84,15,29,2,12,82,8,13,-
1001010073,4,74,6,17,1,-,46,11,28,-
1001010082,-,69,4,27,-,8,85,11,11,-
1001010086,12,47,16,44,-,5,62,25,33,-
1001010089,11,56,20,22,-,11,56,15,25,-
1001010097,2,57,12,15,1,-,46,7,3,-
1001010098,17,72,8,23,1,18,51,34,39,-
1001010106,3,87,10,10,-,2,58,30,27,1
1001010108,13,74,19,42,2,12,99,17,56,1
1001010113,-,65,11,36,-,9,81,24,12,-
1001010129,8,70,11,41,-,3,62,14,18,-
1001010139,-,61,7,42,-,7,59,10,43,-
1001020025,10,108,21,25,2,9,108,24,22,-
1001020027,4,80,4,6,-,5,60,25,19,-
1001020035,24,71,17,10,1,8,76,4,15,-
1001020036,10,65,11,27,4,4,58,7,50,-
1001020042,9,70,40,30,-,7,55,19,26,-
1001020048,10,86,16,42,1,6,107,10,17,-
1001020050,1,48,3,18,-,-,50,19,15,1
1001020054,1,63,15,11,-,2,78,18,9,-
1001020062,2,95,6,37,-,9,65,64,13,-
1001020065,5,73,6,8,-,9,56,13,19,-
1001020066,2,67,15,22,-,7,80,18,7,-
1001020070,-,85,8,57,-,13,80,23,61,-
1001020073,2,76,33,20,-,7,51,20,23,-
1001020078,6,48,7,15,-,10,51,5,7,-
1001020080,1,95,11,6,-,-,84,14,9,-
1001020083,5,52,7,21,-,7,61,14,2,-
1001020089,5,88,12,36,-,17,82,15,40,3
1001020099,5,104,8,34,-,4,68,31,36,-
1001020112,2,68,16,23,1,8,63,32,24,-
1001020120,2,84,12,6,-,18,60,9,44,-
1001020148,4,57,55,42,-,18,71,21,47,-
1001020157,9,61,4,15,-,-,81,8,10,-
1001020167,4,65,24,13,-,4,42,10,39,1
1001020174,3,69,11,9,-,3,65,5,7,-
1001020185,-,90,14,32,-,2,67,15,43,-
1001020201,6,77,16,14,1,6,75,2,7,-
1001020214,17,45,8,79,3,2,75,25,38,-
1001020222,2,76,31,47,-,12,73,22,31,1
1001020233,-,50,23,33,-,7,85,24,23,2
1001020245,5,60,11,46,-,2,72,23,26,-
100102,4,82,19,21,1,9,52,33,25,-
1001030097,-,77,6,45,-,1,86,26,29,-
1001030105,5,73,10,45,1,12,99,40,24,1
1001030110,9,58,8,4,-,8,75,-,4,-
1001030118,9,70,3,4,2,-,53,18,26,-
1001030127,3,71,12,42,-,25,63,17,33,-
1001030142,-,65,7,48,2,8,113,12,5,-
1001030146,6,90,16,30,1,6,70,14,20,-
1001030165,2,73,11,32,-,7,80,9,17,-
1001030177,4,115,14,13,-,7,72,44,41,-
1001030183,-,65,9,23,-,4,53,29,21,-
1001040016,12,92,25,16,-,7,91,6,25,2
1001040017,6,76,9,17,-,11,79,11,19,-
1001040024,4,93,-,18,-,1,88,4,19,-
1001040034,7,71,6,15,-,8,59,9,12,-
1001040041,5,37,3,12,-,3,56,4,3,1
1001040061,17,74,5,15,-,9,66,14,17,-
1001040062,2,99,42,18,-,4,63,42,37,-
1001040068,10,63,19,52,1,19,85,20,24,1
1001040074,7,66,9,26,1,-,41,11,13,1
1001040080,6,60,10,10,-,2,55,9,17,-
1001040096,2,60,7,44,-,5,90,1,10,-
1001040103,11,90,20,23,-,15,87,56,15,-
1001040111,-,72,23,2,-,-,71,29,3,-
1001040117,4,77,7,19,-,17,58,7,9,-
1001040123,1,47,12,8,-,18,51,2,8,-
1001040132,6,56,7,12,-,1,78,12,5,-
1001040142,12,92,2,6,1,8,64,3,4,-
1001040154,10,74,12,33,-,2,94,6,23,-
1001040161,-,88,38,47,-,19,104,40,44,-
1001040172,10,61,22,14,-,8,59,25,9,-
1001050098,1,53,19,16,-,7,61,6,20,-
1001050114,5,61,4,3,-,12,51,7,12,-
1001050123,9,63,7,16,-,14,62,14,19,-
1001050133,11,57,8,18,1,9,79,9,21,-
1001050144,5,91,22,25,-,2,55,10,34,1
1001050156,7,58,15,57,-,3,50,25,35,-
1001050166,8,67,21,40,-,4,80,6,32,-
1001050175,6,70,13,39,-,10,61,33,14,-
1001050188,10,93,35,54,-,8,93,15,39,-
1001050209,7,115,20,16,-,12,96,19,22,-
1001070005,10,86,20,29,-,3,73,10,42,-
1001070013,6,90,37,23,4,2,80,17,66,-
1001070015,4,56,21,6,-,8,63,7,26,-
1001070017,3,54,12,27,-,-,74,10,22,-
1001070027,4,81,20,59,-,19,107,35,57,1
1001070035,4,45,18,44,-,10,84,7,30,2
1001070036,5,50,17,55,-,2,81,18,27,3
1001070042,6,65,76,22,1,20,126,4,13,1
1001070044,7,78,6,13,-,4,88,11,2,-
1001070051,9,91,27,56,-,4,98,20,42,-
1001070059,21,71,18,38,-,6,63,27,67,-
1001070068,13,115,5,18,-,18,84,28,20,-
1001070069,3,72,16,13,1,10,91,14,24,-
1001070070,12,81,13,37,1,5,75,13,34,-
1001070075,-,59,6,14,2,-,51,35,11,-
1001070081,1,59,4,17,-,5,68,13,4,-
1001070082,-,90,11,30,1,9,71,21,24,-
1001070089,1,46,16,14,-,1,54,2,6,-
1001070100,5,55,36,29,1,4,51,43,17,1
1001080064,9,55,24,33,-,6,80,22,13,-
1001080068,23,83,18,15,-,3,77,6,39,-
1001080081,-,88,13,38,1,7,73,19,20,-
1001080093,11,76,30,21,-,15,42,14,43,-
1001080103,9,55,35,7,-,7,61,17,28,-
1001080179,3,46,21,15,-,9,61,9,15,-
1001080182,3,107,20,16,2,12,66,17,39,-
1001080201,3,50,42,13,-,14,62,30,13,-
1001080211,-,68,31,7,-,5,67,9,14,-
1001080217,5,73,10,14,-,-,59,17,5,-
1001080228,6,75,23,19,1,13,70,29,43,-
1001080232,11,64,10,5,2,2,75,13,3,-
1001090009,3,53,10,8,-,4,83,11,12,-
1001090010,-,89,50,13,2,11,77,35,11,-
1001090016,6,83,19,10,-,8,89,14,6,-
1001090019,7,61,8,15,-,8,66,8,7,-
1001090024,9,97,19,22,-,-,62,39,5,-
1001090032,7,53,43,33,-,7,65,20,17,-
