Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,52.9k,89.0k,41.7k,226.9k,3.4k,177.9k,110.3k,20.6k,280.4k,9.2k
1000029,121.0k,22.3k,221.4k,255.8k,6.8k,194.5k,35.5k,27.2k,286.3k,5.2k
1000116,120.3k,29.9k,29.2k,247.7k,7.5k,26.1k,82.6k,175.7k,194.9k,6.5k
100024,11.7k,15.8k,11.2k,39.8k,3.7k,29.4k,70.0k,10.6k,136.4k,6.3k
1000306,330.4k,35.5k,30.3k,283.5k,14.7k,32.8k,112.5k,16.8k,220.2k,5.2k
1000316,199.0k,127.0k,44.1k,155.0k,6.2k,129.7k,41.7k,30.8k,213.1k,5.6k
100031,108.4k,76.8k,174.5k,124.7k,6.5k,48.7k,94.4k,14.5k,153.0k,8.6k
1000320,32.2k,33.8k,21.8k,191.7k,5.8k,32.8k,136.8k,179.7k,157.8k,4.3k
1000331,27.1k,26.2k,29.5k,149.5k,4.2k,177.4k,29.9k,14.3k,183.3k,6.7k
1000453,184.2k,90.3k,14.0k,136.3k,3.4k,118.7k,29.6k,36.9k,187.4k,9.4k
1000462,123.9k,35.3k,273.1k,224.9k,7.4k,28.8k,130.0k,23.4k,217.8k,4.2k
1000469,82.8k,89.3k,160.4k,178.6k,6.4k,246.2k,37.1k,34.1k,107.3k,5.1k
1000512,284.9k,24.5k,12.9k,175.1k,3.5k,160.4k,31.8k,30.3k,265.0k,9.3k
1000523,194.9k,25.9k,22.9k,207.1k,6.3k,40.3k,229.6k,22.8k,263.2k,6.0k
1000525,161.0k,141.8k,27.5k,183.6k,8.4k,177.0k,15.6k,9.9k,112.2k,12.1k
100092,122.8k,13.6k,16.0k,177.3k,7.6k,18.3k,67.2k,11.1k,115.9k,4.2k
1001000016,201.5k,164.4k,22.0k,272.0k,4.0k,29.6k,113.9k,17.0k,260.5k,3.5k
1001000017,199.5k,109.1k,50.8k,258.1k,4.3k,183.8k,129.1k,19.6k,137.9k,8.5k
1001000029,121.9k,133.9k,12.8k,208.3k,6.6k,83.5k,87.6k,20.6k,185.7k,7.9k
1001000044,20.9k,73.7k,14.4k,56.0k,2.7k,30.6k,75.9k,16.3k,199.5k,7.1k
1001000054,18.2k,72.1k,23.1k,218.6k,5.9k,20.1k,75.2k,15.5k,131.8k,1.4k
1001010020,12.6k,76.8k,21.5k,165.2k,4.8k,13.8k,63.2k,20.7k,152.5k,2.3k
