Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,10.2k,16.7k,6.6k,13.1k,11.5k,9.9k,17.1k,7.0k,11.0k,10.4k
1000029,19.0k,20.9k,10.6k,9.1k,13.0k,24.8k,22.0k,11.4k,8.0k,15.7k
1000116,12.1k,18.9k,10.7k,14.9k,13.9k,10.4k,14.7k,4.8k,4.3k,9.5k
100024,10.5k,12.2k,6.1k,5.9k,5.5k,9.5k,9.6k,2.4k,3.0k,2.2k
1000306,14.4k,14.1k,9.2k,10.6k,11.9k,14.8k,17.6k,7.4k,9.4k,13.4k
1000316,12.7k,19.5k,9.3k,12.4k,11.0k,17.1k,19.9k,4.2k,10.2k,11.9k
100031,11.5k,14.7k,11.4k,8.7k,4.4k,10.3k,19.4k,9.5k,10.8k,10.4k
1000320,15.0k,24.9k,12.1k,5.7k,9.3k,6.7k,13.8k,4.8k,6.5k,8.0k
1000331,8.0k,13.9k,10.7k,7.6k,3.8k,7.7k,18.0k,4.6k,5.1k,6.1k
1000360176,8.8k,12.2k,4.2k,8.0k,6.6k,11.8k,15.4k,9.7k,10.9k,6.1k
1000360187,7.2k,16.3k,7.8k,10.6k,7.8k,5.9k,9.2k,6.8k,8.4k,6.0k
1000360191,10.8k,18.5k,9.5k,12.2k,4.4k,11.4k,15.8k,7.9k,8.6k,7.3k
1000360205,5.5k,12.2k,3.9k,3.9k,1.8k,6.9k,8.6k,7.1k,6.5k,3.6k
1000360219,3.1k,16.9k,8.0k,4.8k,4.6k,9.8k,14.8k,8.8k,6.9k,5.4k
1000360222,7.1k,13.2k,6.4k,8.1k,4.0k,7.0k,14.3k,5.8k,10.4k,7.3k
1000360381,7.4k,10.4k,3.2k,8.7k,7.8k,7.8k,16.1k,5.4k,6.8k,4.6k
1000360390,21.1k,22.0k,7.7k,12.0k,7.8k,19.9k,17.4k,14.4k,13.3k,4.1k
1000360397,16.9k,16.7k,6.6k,11.6k,8.2k,9.4k,19.4k,11.4k,7.8k,6.2k
1000360408,8.4k,13.3k,15.2k,6.7k,2.9k,15.5k,12.7k,16.9k,14.1k,9.2k
1000360417,10.9k,23.1k,10.6k,12.6k,6.6k,12.2k,20.1k,15.9k,17.8k,13.4k
1000360424,11.6k,16.5k,3.4k,7.0k,3.5k,9.3k,20.2k,4.6k,11.4k,6.4k
1000360430,16.4k,18.4k,16.5k,9.5k,11.2k,19.7k,15.1k,19.0k,13.6k,7.8k
1000370225,17.4k,24.0k,8.9k,15.6k,10.6k,19.3k,25.4k,6.0k,13.2k,11.2k
1000370226,8.8k,14.4k,15.4k,11.2k,7.5k,13.2k,13.4k,13.1k,11.0k,6.4k
1000370236,10.6k,9.9k,12.2k,9.0k,10.9k,6.7k,13.9k,13.8k,6.5k,6.3k
1000370246,16.2k,18.7k,10.5k,11.6k,6.0k,8.4k,14.2k,9.9k,7.5k,6.4k
1000370262,12.4k,17.0k,8.8k,9.3k,6.0k,14.0k,15.9k,6.7k,6.7k,6.3k
1000370271,16.0k,10.0k,8.8k,9.9k,3.4k,12.6k,17.6k,7.4k,9.0k,11.1k
1000370301,25.7k,32.6k,23.3k,27.0k,30.0k,18.2k,32.8k,24.4k,8.1k,7.7k
1000370304,14.9k,12.5k,4.3k,7.4k,11.4k,11.7k,14.4k,8.8k,6.3k,5.1k
1000370313,20.8k,14.9k,10.0k,7.2k,6.5k,6.5k,13.5k,7.8k,5.3k,6.7k
1000370317,8.2k,13.8k,6.2k,11.4k,8.3k,14.4k,19.3k,6.6k,7.8k,5.6k
1000370321,9.8k,12.6k,8.2k,9.1k,4.3k,5.0k,12.8k,4.7k,6.0k,3.1k
1000370325,12.8k,21.7k,7.2k,7.2k,5.6k,11.9k,12.9k,4.3k,7.0k,3.1k
1000380062,7.0k,14.9k,14.3k,10.3k,8.3k,10.2k,14.8k,9.6k,9.5k,5.6k
1000380064,13.1k,15.0k,5.9k,10.8k,5.1k,16.3k,16.2k,9.9k,11.4k,9.7k
1000380065,5.7k,8.7k,7.6k,5.0k,6.5k,8.2k,8.7k,5.1k,4.3k,3.0k
1000380087,11.8k,17.4k,7.3k,10.0k,11.2k,6.8k,14.4k,4.2k,9.3k,10.0k
1000380094,12.2k,19.2k,11.8k,17.3k,9.8k,24.9k,30.0k,9.8k,18.0k,10.1k
1000380095,21.1k,15.7k,6.9k,11.9k,5.8k,12.8k,19.7k,7.3k,11.1k,9.8k
1000380097,15.4k,17.7k,6.5k,12.6k,9.1k,12.6k,14.7k,6.8k,8.8k,4.4k
1000380098,13.8k,10.7k,10.4k,9.8k,7.9k,10.1k,14.5k,6.1k,12.8k,4.7k
1000420071,9.1k,16.1k,8.1k,9.4k,6.7k,25.2k,15.0k,10.8k,13.3k,11.0k
1000420074,17.8k,18.9k,3.1k,9.4k,2.3k,10.5k,14.6k,3.0k,6.8k,5.3k
1000420080,13.8k,17.7k,11.2k,9.8k,10.5k,25.2k,18.7k,8.1k,15.5k,9.1k
1000420135,13.4k,14.7k,9.9k,10.1k,13.5k,6.8k,20.7k,7.7k,7.9k,8.7k
1000420142,11.2k,10.5k,7.3k,6.9k,7.2k,7.2k,11.1k,3.3k,6.1k,8.8k
1000420149,12.2k,12.9k,9.8k,7.5k,10.7k,14.7k,15.4k,6.0k,8.6k,9.5k
1000430019,16.4k,15.6k,5.3k,8.9k,7.3k,14.3k,28.7k,14.0k,12.1k,7.1k
1000430033,8.8k,12.2k,4.7k,8.9k,3.5k,10.3k,11.3k,6.5k,7.0k,4.3k
1000430034,15.6k,21.1k,5.2k,11.3k,10.9k,17.2k,19.8k,9.5k,10.1k,8.1k
1000430040,30.7k,28.1k,9.1k,18.4k,7.6k,17.8k,30.5k,7.8k,15.2k,10.6k
1000430047,9.5k,10.9k,6.8k,7.8k,6.6k,12.7k,10.8k,9.3k,6.0k,10.5k
1000430058,12.1k,13.7k,6.6k,9.7k,5.6k,16.9k,15.5k,14.7k,11.2k,8.0k
1000430107,9.0k,10.2k,5.1k,8.1k,6.1k,6.0k,9.5k,4.9k,6.9k,4.1k
1000430112,8.2k,19.9k,2.2k,7.3k,4.0k,5.0k,15.1k,1.9k,6.6k,5.6k
1000430120,17.3k,20.1k,14.1k,7.8k,10.8k,14.6k,16.2k,14.7k,13.5k,11.4k
1000430136,6.6k,10.8k,5.5k,8.4k,2.8k,10.6k,10.5k,8.7k,6.8k,9.3k
1000430139,16.1k,14.1k,5.5k,17.2k,10.2k,13.5k,14.1k,4.4k,10.0k,8.0k
1000430162,26.6k,35.7k,8.7k,14.7k,13.0k,15.2k,26.7k,15.3k,18.7k,8.7k
1000440012,14.4k,22.4k,6.4k,15.4k,8.3k,14.2k,22.5k,7.9k,10.3k,7.2k
1000440016,14.2k,11.9k,4.3k,6.4k,7.3k,13.8k,13.9k,8.8k,9.9k,8.3k
1000440023,7.4k,12.6k,5.0k,8.5k,5.9k,8.8k,12.3k,8.2k,10.7k,6.0k
1000440032,15.8k,20.5k,19.0k,14.3k,21.1k,15.2k,21.0k,13.9k,16.4k,6.4k
1000440053,25.2k,24.3k,6.2k,13.3k,7.8k,20.2k,23.3k,9.4k,16.4k,10.1k
1000440054,11.1k,14.9k,8.4k,11.4k,2.8k,12.7k,16.9k,4.5k,12.3k,6.1k
1000450045,15.2k,17.4k,16.2k,11.3k,12.7k,13.2k,15.9k,15.3k,6.8k,12.4k
1000453,13.7k,16.5k,3.6k,8.0k,8.7k,16.6k,27.3k,12.5k,9.5k,13.3k
1000460050,4.7k,9.9k,9.6k,10.3k,5.6k,7.8k,14.0k,10.2k,6.3k,4.1k
1000460053,14.9k,12.7k,9.9k,9.5k,7.7k,13.7k,17.0k,7.2k,9.9k,5.6k
1000460054,8.4k,13.2k,10.8k,6.2k,6.0k,10.8k,10.4k,5.9k,5.7k,3.6k
1000460055,16.2k,19.3k,9.9k,10.7k,12.2k,9.7k,17.1k,11.0k,11.1k,8.8k
1000460089,14.2k,15.4k,4.2k,8.5k,3.1k,6.3k,12.6k,4.8k,9.6k,5.2k
1000460091,16.3k,16.7k,2.9k,10.0k,6.0k,6.8k,17.7k,5.7k,9.7k,3.3k
1000462,10.7k,20.7k,13.1k,7.4k,14.3k,14.0k,20.6k,7.5k,10.5k,8.7k
1000469,16.3k,16.1k,4.7k,5.9k,8.1k,18.1k,16.7k,9.8k,11.6k,13.4k
1000470064,11.7k,10.0k,4.1k,11.1k,9.6k,12.7k,14.7k,8.2k,7.5k,5.0k
1000470071,20.6k,14.4k,14.4k,10.2k,7.0k,10.2k,21.0k,7.2k,10.1k,6.8k
1000470072,14.9k,12.5k,5.8k,10.0k,10.7k,9.5k,14.0k,9.5k,10.3k,7.3k
1000470074,11.6k,14.0k,12.1k,12.0k,8.9k,17.7k,15.2k,8.5k,10.7k,6.7k
1000470085,14.6k,12.4k,11.8k,10.4k,10.0k,9.7k,19.6k,9.9k,13.6k,9.0k
1000470086,8.9k,18.4k,4.8k,11.4k,7.9k,11.8k,20.4k,7.3k,10.8k,11.6k
1000470087,10.6k,12.8k,3.0k,7.9k,5.1k,10.0k,15.0k,7.9k,7.3k,3.8k
1000470108,12.2k,19.4k,14.0k,13.6k,8.3k,16.5k,22.4k,8.5k,9.8k,6.0k
1000470111,21.8k,14.6k,12.7k,12.0k,9.7k,22.7k,27.5k,17.1k,18.4k,23.6k
1000470112,18.7k,21.2k,10.2k,15.6k,8.1k,11.8k,20.4k,12.9k,9.0k,5.5k
1000480040,9.4k,15.9k,7.1k,6.8k,3.2k,7.9k,8.5k,4.7k,4.2k,3.2k
1000480046,6.3k,13.8k,7.7k,10.0k,5.6k,10.9k,19.8k,8.3k,14.0k,9.8k
1000480047,4.9k,9.3k,4.7k,4.5k,4.5k,3.2k,10.0k,3.1k,5.5k,5.7k
1000490068,16.0k,13.3k,16.4k,7.4k,8.2k,11.6k,12.8k,11.3k,8.2k,5.2k
1000512,11.4k,21.8k,4.7k,11.8k,8.4k,15.7k,16.4k,8.0k,7.2k,6.8k
1000523,27.8k,19.6k,12.2k,7.4k,11.8k,10.0k,25.0k,9.5k,9.1k,12.3k
1000525,12.0k,19.9k,3.5k,10.4k,6.0k,14.2k,16.0k,6.7k,8.5k,12.7k
100070,9.6 mil,22.9 mil,8.0 mil,8.2 mil,8.4 mil,14.2 mil,10.5 mil,5.9 mil,11.1 mil,5.8 mil
100072,18.1 mil,28.5 mil,8.6 mil,7.0 mil,12.3 mil,13.4 mil,15.3 mil,6.0 mil,5.4 mil,5.3 mil
100080,10.7 mil,13.0 mil,5.3 mil,8.2 mil,8.9 mil,9.7 mil,19.9 mil,6.9 mil,9.1 mil,8.2 mil
100081,15.6 mil,15.7 mil,9.5 mil,7.3 mil,13.8 mil,19.7 mil,22.9 mil,8.5 mil,8.1 mil,8.3 mil
100092,8.4k,15.6k,3.8k,6.2k,8.4k,7.7k,14.5k,4.0k,8.6k,4.2k
1001000016,14.5k,25.7k,6.8k,6.2k,4.8k,5.6k,23.0k,5.3k,10.3k,3.0k
1001000017,24.2k,16.7k,14.1k,8.1k,6.3k,21.9k,28.6k,6.2k,13.9k,8.4k
1001000029,15.0k,11.8k,5.4k,6.4k,4.7k,13.2k,15.1k,7.9k,14.9k,6.3k
1001000044,6.0k,15.0k,3.5k,7.7k,2.9k,7.5k,11.2k,4.7k,3.7k,6.4k
1001000054,11.8k,11.9k,2.5k,5.6k,4.0k,7.0k,14.5k,7.4k,7.0k,3.7k
1001010020,4.5k,14.0k,3.5k,5.0k,5.8k,8.3k,13.8k,10.8k,6.6k,7.4k
1001010041,8.9k,15.9k,9.0k,5.2k,10.2k,14.4k,13.2k,4.7k,7.4k,5.8k
1001010047,7.8k,27.5k,3.4k,5.7k,13.8k,22.6k,18.5k,3.1k,7.0k,7.6k
1001010060,6.7k,20.9k,11.1k,10.2k,6.7k,12.5k,21.4k,11.9k,10.9k,14.4k
1001010073,4.6k,24.3k,8.1k,6.0k,6.7k,6.0k,21.2k,2.9k,9.6k,3.6k
1001010082,6.4k,13.1k,9.4k,6.1k,4.3k,15.0k,18.3k,8.5k,10.6k,7.9k
1001010086,21.4k,19.0k,12.3k,13.4k,7.5k,14.4k,32.4k,16.6k,13.9k,16.7k
1001010089,15.2k,16.7k,10.1k,14.0k,9.5k,13.7k,19.0k,15.0k,9.3k,4.3k
1001010097,8.0k,13.9k,4.8k,8.6k,5.1k,5.6k,12.8k,4.2k,4.9k,2.7k
1001010098,7.9k,12.9k,4.8k,9.8k,5.3k,10.6k,15.6k,8.5k,7.5k,4.2k
1001010106,18.8k,24.3k,6.7k,12.1k,9.8k,10.4k,16.5k,11.2k,8.0k,8.8k
1001010108,17.8k,24.0k,14.2k,11.3k,15.8k,19.3k,42.7k,8.0k,13.9k,16.7k
1001010113,17.2k,18.9k,7.9k,9.5k,6.0k,9.4k,22.4k,11.4k,7.4k,8.6k
1001010129,12.1k,19.2k,11.9k,6.8k,12.0k,15.3k,17.5k,3.3k,8.1k,9.4k
1001010139,19.2k,15.1k,14.8k,9.5k,10.9k,21.4k,25.6k,15.3k,8.8k,6.3k
1001020025,11.6k,40.3k,11.9k,7.1k,8.1k,14.3k,29.2k,8.3k,10.9k,5.6k
1001020027,12.6k,11.5k,11.0k,9.6k,6.1k,12.2k,15.8k,7.6k,5.2k,9.0k
1001020035,16.4k,16.2k,5.6k,8.8k,7.0k,16.3k,17.2k,2.8k,7.2k,4.0k
1001020036,9.8k,12.3k,10.0k,7.2k,11.1k,14.0k,16.4k,9.1k,7.4k,6.6k
1001020042,9.7k,27.6k,6.2k,17.6k,5.2k,9.1k,13.6k,2.4k,8.6k,1.8k
1001020048,18.4k,27.9k,5.0k,8.6k,6.8k,18.2k,21.2k,9.5k,14.5k,25.4k
1001020050,10.4k,13.7k,16.2k,7.1k,5.0k,15.6k,14.1k,16.5k,12.0k,7.9k
1001020054,10.9k,17.9k,11.8k,8.4k,14.1k,6.7k,20.2k,6.5k,4.6k,7.2k
1001020062,11.2k,16.7k,10.6k,9.0k,3.2k,11.6k,18.5k,5.7k,4.6k,11.0k
1001020065,8.0k,10.0k,3.0k,4.7k,2.4k,10.0k,11.7k,2.8k,5.3k,1.7k
1001020066,5.9k,14.4k,5.0k,6.0k,7.5k,11.7k,18.2k,8.7k,13.1k,3.8k
1001020070,12.1k,25.9k,19.4k,11.7k,16.2k,19.3k,27.9k,12.6k,10.6k,10.3k
1001020073,11.5k,14.4k,11.7k,13.4k,5.6k,8.3k,20.7k,7.9k,6.2k,5.3k
1001020078,12.1k,17.9k,6.0k,6.0k,4.5k,9.7k,12.6k,5.5k,7.9k,4.6k
