Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,4.6k,2.6k,0.7k,12.3k,0.5k,10.2k,6.0k,0.9k,18.6k,0.7k
1000029,13.8k,0.8k,17.6k,22.4k,0.6k,11.7k,0.7k,0.3k,32.2k,0.7k
1000116,7.4k,1.0k,0.1k,16.6k,0.6k,1.5k,5.9k,22.0k,13.2k,0.2k
100024,1.4k,0.3k,0.3k,4.7k,0.8k,4.8k,5.5k,0.4k,12.8k,1.1k
1000306,10.2k,1.6k,0.9k,28.0k,0.9k,1.8k,7.2k,0.0k,17.5k,0.7k
1000316,14.5k,12.2k,4.3k,9.8k,0.5k,13.1k,1.1k,1.1k,24.2k,1.2k
100031,11.9k,5.7k,9.7k,10.2k,1.0k,1.9k,8.4k,0.9k,13.1k,2.7k
1000320,0.8k,0.6k,0.6k,15.2k,0.1k,2.4k,8.2k,19.3k,7.3k,0.3k
1000331,0.4k,0.6k,1.1k,9.4k,0.8k,7.7k,0.8k,1.3k,12.8k,0.4k
1000453,12.7k,9.7k,0.7k,12.9k,1.0k,10.8k,1.3k,3.3k,12.7k,2.7k
1000462,8.9k,0.7k,11.5k,10.9k,0.3k,3.0k,5.5k,1.1k,19.8k,1.6k
1000469,7.5k,5.4k,16.6k,15.9k,1.0k,21.1k,1.2k,0.5k,7.9k,0.4k
1000512,13.2k,1.0k,0.3k,12.9k,0.2k,11.8k,1.2k,2.0k,20.8k,1.1k
1000523,13.1k,0.6k,1.4k,23.2k,0.4k,3.6k,19.0k,0.3k,20.4k,1.0k
1000525,7.4k,15.3k,1.0k,14.7k,1.1k,10.6k,0.3k,0.6k,9.5k,0.9k
100092,5.5k,0.7k,0.7k,9.5k,0.4k,1.7k,3.1k,0.4k,7.6k,0.5k
1001000016,9.7k,3.1k,0.3k,5.9k,0.3k,0.7k,5.9k,0.1k,23.0k,0.6k
1001000017,16.9k,5.3k,0.7k,21.2k,0.4k,18.4k,5.1k,1.1k,6.7k,0.2k
1001000029,6.9k,4.4k,0.4k,16.7k,0.8k,7.2k,1.4k,0.3k,9.6k,0.4k
1001000044,1.1k,4.9k,0.2k,3.1k,0.2k,2.0k,3.6k,0.2k,8.5k,1.5k
1001000054,0.3k,3.4k,0.6k,13.9k,0.5k,0.5k,2.4k,0.5k,6.9k,0.5k
