Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,4,3,2,-,-,7,3,5,-,-
1000029,-,-,-,-,-,-,-,-,-,-
1000116,-,-,-,-,-,-,-,-,-,-
100024,4,1,-,-,1,4,2,6,-,2
1000306,-,-,-,-,-,-,-,-,-,-
1000316,-,-,-,-,-,-,-,-,-,-
100031,7,17,6,1,5,10,3,3,2,3
1000320,-,-,-,-,-,-,-,-,-,-
1000331,-,-,-,-,-,-,-,-,-,-
1000453,-,-,-,-,-,-,-,-,-,-
1000462,-,-,-,-,-,-,-,-,-,-
1000469,-,-,-,-,-,-,-,-,-,-
1000512,-,-,-,-,-,-,-,-,-,-
1000523,-,-,-,-,-,-,-,-,-,-
1000525,-,-,-,-,-,-,-,-,-,-
100092,10,4,3,1,6,3,4,5,-,3
1001000016,6,2,8,-,-,10,5,3,-,1
1001000017,7,2,1,-,-,4,3,6,-,-
1001000029,8,16,6,-,2,5,4,4,-,4
1001000044,3,1,1,-,6,5,5,3,-,5
1001000054,2,16,3,-,4,5,6,6,2,4
1001010020,3,9,2,-,-,3,2,6,-,2
1001010041,3,11,2,2,-,6,3,1,-,2
1001010047,-,12,6,-,2,2,1,6,-,-
1001010060,-,4,1,-,1,12,7,5,-,9
1001010073,-,2,1,-,1,8,-,3,-,2
1001010082,6,18,3,-,-,3,18,11,-,3
1001010086,16,3,5,-,9,6,4,7,-,6
1001010089,7,23,3,-,1,10,5,8,1,3
1001010097,6,2,7,-,-,1,13,10,-,-
1001010098,4,16,-,-,10,12,3,2,1,5
1001010106,1,2,8,-,-,7,4,4,-,-
1001010108,8,3,1,-,3,8,4,2,-,2
1001010113,8,11,8,-,-,4,1,4,-,-
1001010129,2,4,-,-,5,3,15,2,-,5
1001010139,3,2,10,-,-,14,8,11,-,9
1001020025,7,3,10,1,3,3,2,4,1,7
1001020027,5,20,10,-,2,6,4,3,-,7
1001020035,8,13,2,-,1,2,4,1,-,5
1001020036,-,8,6,-,2,3,3,1,-,1
1001020042,7,4,4,1,2,5,3,5,-,2
1001020048,5,6,8,-,3,3,5,3,-,3
1001020050,4,8,4,-,-,5,9,3,-,-
1001020054,3,6,1,-,-,-,9,-,-,-
1001020062,10,13,4,-,4,10,3,2,-,5
1001020065,3,14,5,-,2,5,6,7,2,2
