Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,208.5k,166.3k,267.1k,213.0k,18.0k,168.1k,132.4k,165.9k,223.5k,15.6k
1000029,170.5k,218.4k,250.8k,262.0k,18.7k,197.9k,182.0k,204.2k,296.9k,18.8k
1000116,172.5k,154.7k,222.9k,272.9k,20.7k,138.0k,112.6k,183.1k,231.8k,13.7k
100024,89.1k,58.4k,97.3k,87.8k,6.9k,120.6k,97.5k,153.2k,141.0k,9.3k
1000306,359.5k,184.3k,239.0k,330.8k,23.1k,187.4k,147.9k,272.1k,234.0k,17.5k
1000316,223.3k,155.5k,206.8k,183.6k,15.5k,187.6k,197.4k,239.8k,253.5k,22.6k
100031,118.8k,96.8k,182.1k,141.5k,25.4k,144.5k,135.4k,249.5k,157.2k,24.1k
1000320,141.0k,234.3k,143.3k,198.9k,16.6k,200.4k,157.0k,190.3k,161.7k,16.9k
1000331,194.2k,155.3k,130.3k,152.4k,16.8k,192.7k,152.8k,143.3k,202.0k,19.8k
1000360176,123.6k,101.8k,197.9k,134.0k,18.1k,126.2k,99.7k,174.8k,155.4k,10.4k
1000360187,106.7k,116.7k,160.6k,146.3k,12.7k,57.2k,48.2k,114.2k,94.6k,7.8k
1000360191,93.3k,123.3k,239.7k,174.9k,12.7k,115.0k,111.8k,129.5k,174.7k,10.0k
1000360205,125.8k,144.2k,198.3k,193.5k,17.3k,141.3k,104.0k,217.5k,115.2k,10.0k
1000360219,106.5k,94.2k,227.7k,269.0k,8.3k,103.5k,116.5k,313.4k,168.0k,10.9k
1000360222,129.7k,119.6k,168.1k,187.7k,12.2k,113.7k,71.2k,164.7k,170.3k,10.4k
1000360381,149.8k,82.6k,196.2k,171.9k,11.2k,151.9k,131.6k,203.2k,191.0k,22.4k
1000360390,126.8k,126.6k,276.1k,160.8k,13.2k,177.6k,179.9k,284.2k,259.8k,36.4k
1000360397,104.9k,100.6k,181.3k,271.4k,17.0k,99.9k,165.0k,193.1k,159.6k,20.7k
1000360408,117.8k,119.3k,208.8k,292.7k,17.5k,167.1k,153.6k,245.9k,266.4k,24.8k
1000360417,138.3k,231.4k,303.4k,256.9k,30.2k,242.3k,160.2k,319.7k,203.0k,14.5k
1000360424,105.4k,206.4k,219.5k,216.4k,11.7k,99.9k,102.6k,195.4k,144.3k,10.4k
1000360430,201.9k,131.3k,218.8k,261.6k,36.4k,150.2k,166.9k,162.9k,226.4k,42.5k
1000370225,258.0k,146.9k,238.0k,329.7k,20.6k,142.3k,235.8k,332.3k,261.1k,19.1k
1000370226,150.3k,125.4k,200.1k,216.8k,8.3k,116.7k,115.2k,276.0k,334.5k,15.7k
1000370236,126.2k,107.1k,147.8k,184.3k,15.6k,89.0k,137.7k,117.9k,151.3k,9.1k
1000370246,126.1k,166.1k,195.3k,190.8k,15.0k,121.1k,128.4k,89.8k,207.7k,10.0k
1000370262,141.2k,89.9k,178.4k,267.0k,16.4k,71.9k,119.9k,241.5k,260.8k,11.7k
1000370271,98.0k,103.9k,182.2k,187.0k,15.4k,70.5k,96.8k,93.8k,96.3k,15.7k
1000370301,240.6k,138.3k,462.8k,567.4k,30.8k,421.7k,400.0k,534.0k,663.0k,32.3k
1000370304,147.1k,90.2k,170.0k,136.9k,21.5k,105.7k,112.3k,155.2k,187.4k,24.9k
1000370313,101.4k,140.1k,102.6k,200.7k,12.9k,130.1k,114.3k,258.5k,284.2k,21.5k
1000370317,117.0k,95.4k,196.0k,230.3k,11.3k,185.4k,162.7k,189.7k,249.6k,13.8k
1000370321,63.9k,83.1k,113.2k,136.6k,4.2k,117.9k,123.4k,157.4k,98.7k,8.8k
1000370325,185.3k,149.1k,222.8k,206.1k,42.5k,153.1k,118.0k,242.0k,182.8k,9.6k
1000380062,57.7k,70.6k,102.8k,108.6k,10.1k,114.8k,120.0k,161.5k,112.5k,6.7k
1000380064,127.2k,154.1k,218.8k,145.3k,15.8k,85.9k,121.2k,112.0k,175.0k,15.1k
1000380065,57.8k,51.2k,52.1k,107.9k,8.9k,64.4k,84.0k,84.3k,70.4k,5.7k
1000380087,43.2k,79.9k,119.7k,121.0k,16.5k,110.4k,128.2k,126.3k,193.2k,12.6k
1000380094,191.9k,113.7k,241.9k,287.9k,32.0k,162.2k,232.3k,189.7k,380.1k,15.7k
1000380095,151.3k,143.4k,249.6k,198.6k,17.3k,203.6k,224.5k,278.4k,316.4k,14.9k
1000380097,154.2k,108.5k,242.5k,208.8k,18.5k,96.7k,126.3k,128.9k,205.9k,12.1k
1000380098,87.9k,101.9k,173.1k,228.2k,11.5k,102.8k,93.9k,118.7k,142.1k,7.9k
1000420071,142.9k,170.0k,208.5k,307.7k,17.3k,171.8k,117.5k,184.0k,273.7k,17.6k
1000420074,149.1k,170.3k,225.0k,173.1k,10.4k,156.9k,91.7k,178.4k,167.8k,8.7k
1000420080,123.1k,105.9k,223.7k,263.9k,16.3k,122.4k,108.9k,151.7k,102.8k,27.7k
1000420135,64.5k,72.4k,146.6k,85.4k,18.3k,129.7k,156.7k,121.9k,181.9k,13.9k
1000420142,90.6k,99.9k,119.9k,88.7k,12.4k,137.6k,85.9k,138.9k,140.8k,16.9k
1000420149,64.0k,84.8k,96.7k,135.8k,14.9k,80.3k,126.9k,85.5k,157.8k,12.9k
1000430019,194.4k,149.2k,212.8k,295.0k,14.8k,169.8k,251.9k,246.8k,365.2k,19.6k
1000430033,81.0k,93.9k,138.6k,142.0k,10.1k,79.9k,91.1k,81.5k,98.7k,10.2k
1000430034,131.9k,147.9k,224.1k,225.7k,11.8k,215.2k,159.2k,220.3k,263.8k,22.9k
1000430040,253.0k,162.8k,360.9k,463.8k,15.7k,301.1k,315.8k,298.2k,560.0k,20.7k
1000430047,77.4k,89.6k,129.8k,112.2k,13.1k,45.5k,45.8k,82.3k,49.9k,9.5k
1000430058,100.7k,131.9k,115.4k,242.5k,13.8k,104.5k,124.0k,156.0k,124.8k,10.4k
1000430107,38.5k,63.1k,66.4k,59.7k,6.6k,82.7k,90.0k,113.7k,80.2k,11.5k
1000430112,163.6k,161.7k,243.3k,221.3k,9.7k,116.1k,104.3k,216.0k,254.7k,14.8k
1000430120,138.8k,172.7k,237.4k,133.6k,17.5k,94.9k,101.3k,154.4k,153.8k,20.1k
1000430136,73.5k,83.2k,98.7k,75.8k,10.3k,47.5k,52.9k,40.2k,34.0k,7.8k
1000430139,122.8k,109.4k,121.4k,142.7k,12.8k,146.4k,150.2k,221.4k,191.0k,17.5k
1000430162,215.2k,242.4k,227.8k,408.1k,22.3k,290.2k,176.4k,317.5k,303.7k,21.1k
