Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,13.2k,3.4k,9.7k,12.5k,3.4k,11.4k,6.7k,31.3k,19.2k,5.5k
1000029,19.5k,22.4k,22.7k,24.7k,7.3k,15.1k,8.4k,20.7k,36.5k,4.2k
1000116,9.6k,12.2k,19.6k,19.3k,3.9k,11.4k,7.2k,26.4k,14.4k,2.3k
100024,10.0k,3.5k,10.4k,11.5k,2.8k,12.4k,6.2k,19.6k,14.0k,3.0k
1000306,18.1k,13.7k,18.7k,30.6k,2.2k,12.3k,8.2k,26.3k,22.0k,4.3k
1000316,22.8k,14.4k,23.3k,11.3k,2.6k,18.1k,15.4k,15.4k,28.4k,6.8k
100031,12.6k,6.7k,11.2k,13.7k,8.0k,11.2k,10.4k,25.3k,14.5k,8.8k
1000320,11.5k,12.2k,17.7k,17.0k,2.2k,15.3k,8.9k,23.4k,8.6k,5.7k
1000331,6.6k,13.5k,11.1k,10.3k,6.1k,12.1k,10.5k,18.6k,13.5k,2.3k
1000453,19.5k,10.9k,10.4k,14.0k,8.1k,14.1k,8.7k,30.2k,15.3k,4.1k
1000462,13.0k,16.4k,19.7k,12.0k,2.6k,15.0k,7.7k,14.6k,20.7k,9.2k
1000469,10.9k,6.4k,20.6k,17.5k,6.5k,32.7k,15.5k,7.7k,13.3k,2.6k
1000512,19.7k,11.4k,13.2k,14.3k,2.3k,16.2k,14.2k,32.8k,22.8k,5.3k
1000523,20.1k,13.1k,23.4k,28.3k,5.3k,19.2k,21.8k,20.9k,21.6k,4.0k
1000525,15.4k,19.7k,12.1k,16.8k,4.5k,11.0k,6.6k,8.9k,11.5k,2.0k
100092,6.2k,17.6k,16.9k,10.2k,2.6k,9.9k,6.2k,8.3k,9.0k,1.9k
1001000016,13.6k,4.3k,18.2k,17.7k,4.0k,11.3k,7.3k,28.4k,29.9k,3.0k
1001000017,22.5k,7.5k,24.6k,22.2k,9.5k,23.7k,9.4k,20.8k,16.3k,3.6k
1001000029,10.2k,4.4k,13.4k,18.3k,6.4k,9.2k,2.0k,13.4k,10.5k,2.8k
1001000044,7.6k,5.8k,13.9k,11.1k,0.9k,4.7k,4.2k,13.0k,9.1k,5.9k
1001000054,6.6k,4.3k,16.6k,15.7k,5.0k,6.4k,3.1k,10.8k,11.8k,1.6k
1001010020,10.6k,8.3k,16.4k,15.4k,4.7k,7.8k,4.7k,9.8k,7.3k,2.5k
1001010041,14.5k,12.1k,15.6k,15.2k,7.2k,9.2k,6.6k,8.4k,9.9k,6.6k
1001010047,22.2k,13.2k,30.8k,21.3k,5.2k,11.8k,8.6k,20.8k,16.5k,6.6k
1001010060,17.4k,12.1k,15.9k,28.0k,7.7k,10.1k,6.3k,10.1k,20.9k,3.5k
1001010073,4.2k,8.6k,25.7k,20.3k,3.5k,7.5k,7.1k,22.8k,24.1k,2.1k
1001010082,17.9k,4.6k,14.9k,19.7k,7.9k,7.8k,9.0k,13.2k,17.9k,2.0k
1001010086,20.9k,15.2k,9.7k,28.7k,8.4k,25.3k,22.5k,23.3k,21.8k,10.3k
1001010089,10.7k,7.8k,11.2k,19.4k,2.9k,10.0k,8.2k,23.4k,15.0k,4.8k
1001010097,4.6k,3.9k,8.8k,8.7k,3.7k,9.0k,5.2k,16.7k,10.2k,8.8k
1001010098,11.2k,6.3k,34.6k,18.9k,4.2k,8.3k,2.5k,13.0k,13.1k,1.7k
1001010106,19.4k,12.7k,26.1k,25.2k,7.0k,17.1k,10.4k,16.4k,26.2k,4.3k
1001010108,12.3k,13.1k,39.6k,36.2k,8.0k,18.9k,19.9k,39.9k,40.7k,5.0k
1001010113,14.2k,8.0k,16.0k,21.6k,1.6k,22.3k,7.3k,22.4k,22.2k,5.0k
1001010129,20.1k,13.4k,14.3k,18.6k,4.8k,9.4k,9.5k,17.3k,11.2k,4.1k
1001010139,14.1k,8.6k,17.2k,27.2k,4.2k,19.2k,6.1k,22.3k,21.9k,7.5k
1001020025,9.8k,9.7k,34.4k,18.4k,8.1k,22.2k,14.3k,29.1k,29.4k,6.1k
1001020027,9.8k,7.5k,17.0k,16.7k,6.7k,10.9k,5.9k,16.8k,12.2k,2.7k
1001020035,10.6k,3.7k,9.8k,18.5k,3.8k,12.4k,7.0k,33.6k,20.2k,5.2k
1001020036,12.4k,3.9k,14.1k,23.2k,4.1k,11.3k,13.5k,16.7k,14.8k,5.5k
1001020042,12.4k,6.4k,27.8k,14.8k,3.1k,6.4k,5.4k,13.2k,12.3k,5.2k
1001020048,23.5k,16.8k,23.6k,24.3k,7.7k,16.6k,23.0k,27.2k,29.7k,6.9k
1001020050,15.8k,5.3k,19.3k,20.2k,3.3k,16.3k,6.2k,26.8k,20.1k,6.7k
1001020054,13.2k,7.0k,21.4k,15.6k,4.8k,13.1k,11.7k,25.9k,17.2k,6.6k
1001020062,11.7k,13.5k,25.1k,18.9k,4.4k,11.8k,6.0k,21.9k,14.3k,3.0k
1001020065,10.5k,2.6k,9.1k,7.0k,3.3k,5.7k,4.9k,11.0k,3.2k,1.4k
1001020066,10.9k,5.6k,27.5k,10.6k,2.5k,6.3k,4.3k,22.2k,14.4k,2.3k
1001020070,28.4k,11.4k,43.4k,37.7k,7.1k,23.3k,20.3k,56.6k,36.0k,8.9k
1001020073,13.1k,1.8k,18.8k,11.1k,5.6k,21.2k,6.1k,13.9k,25.9k,6.3k
1001020078,14.2k,8.1k,12.5k,10.2k,7.2k,10.7k,4.8k,9.2k,5.5k,4.9k
1001020080,12.1k,18.3k,17.4k,16.9k,4.3k,12.3k,4.9k,15.0k,12.7k,5.7k
1001020083,9.9k,4.7k,20.4k,29.0k,3.1k,8.0k,5.7k,5.1k,9.4k,6.3k
1001020089,22.9k,19.3k,33.6k,39.0k,6.1k,39.1k,11.6k,38.9k,28.4k,7.9k
1001020099,7.8k,9.1k,19.2k,29.0k,3.6k,7.5k,4.1k,16.8k,13.2k,2.8k
1001020112,18.8k,12.5k,31.4k,38.8k,7.7k,17.7k,11.3k,27.3k,43.2k,6.1k
1001020120,12.2k,6.0k,13.5k,14.4k,2.8k,20.0k,8.3k,15.5k,20.4k,1.3k
1001020148,12.9k,4.0k,26.7k,18.5k,2.8k,24.9k,8.0k,13.3k,20.5k,6.7k
1001020157,8.9k,3.7k,12.4k,9.5k,2.2k,9.1k,6.0k,7.4k,9.2k,2.2k
1001020167,7.5k,4.2k,23.0k,23.9k,3.5k,17.3k,6.9k,19.3k,19.0k,1.4k
1001020174,13.8k,10.4k,15.8k,12.6k,7.5k,6.8k,6.4k,14.9k,14.1k,2.5k
1001020185,11.1k,7.1k,6.7k,13.1k,9.1k,18.4k,6.4k,25.4k,13.9k,7.1k
1001020201,17.3k,5.1k,15.4k,14.1k,5.1k,8.4k,5.4k,8.6k,23.3k,1.9k
1001020214,32.7k,12.6k,15.7k,19.5k,8.1k,10.6k,8.6k,15.8k,14.0k,4.7k
1001020222,11.6k,26.7k,21.1k,16.9k,4.1k,12.5k,4.0k,15.2k,19.3k,3.5k
1001020233,17.2k,9.6k,35.7k,34.1k,8.0k,37.0k,10.3k,17.7k,30.8k,4.9k
1001020245,29.1k,9.0k,23.0k,28.6k,2.8k,12.7k,13.4k,42.3k,12.2k,7.7k
100102,15.3k,15.4k,21.8k,22.6k,8.4k,20.3k,13.6k,26.0k,21.8k,11.8k
1001030097,15.0k,12.1k,20.5k,14.0k,5.7k,11.7k,7.2k,32.1k,29.5k,8.6k
1001030105,19.4k,12.4k,34.3k,31.6k,11.1k,26.0k,11.0k,27.1k,17.1k,7.2k
1001030110,4.0k,4.2k,4.2k,7.2k,1.4k,3.8k,8.4k,6.2k,6.6k,2.2k
1001030118,8.6k,4.2k,8.5k,13.5k,2.7k,15.4k,5.6k,18.8k,18.1k,4.8k
1001030127,12.4k,11.3k,19.5k,25.7k,4.8k,21.5k,12.9k,29.8k,37.4k,3.5k
1001030142,9.8k,6.7k,22.8k,19.0k,3.8k,12.6k,5.5k,12.8k,14.5k,3.1k
1001030146,26.3k,14.0k,23.2k,21.3k,4.2k,13.5k,6.8k,17.9k,13.2k,4.9k
1001030165,22.4k,9.8k,24.0k,21.8k,3.6k,11.4k,7.9k,33.2k,37.3k,7.2k
1001030177,21.9k,9.4k,27.2k,25.6k,6.3k,16.5k,8.1k,40.2k,23.4k,2.0k
1001030183,19.9k,9.5k,18.7k,20.9k,7.9k,19.5k,9.9k,9.9k,21.9k,8.1k
1001040016,9.9k,7.2k,15.3k,11.0k,1.8k,7.0k,3.8k,10.8k,14.3k,2.7k
1001040017,27.0k,13.9k,23.3k,22.7k,7.5k,19.7k,6.9k,24.5k,46.5k,7.7k
