Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000029,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000116,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
100024,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000306,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000316,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
100031,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000320,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000331,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360176,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360187,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360191,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360205,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360219,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360222,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360381,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360390,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360397,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360408,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360417,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360424,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000360430,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370225,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370226,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370236,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370246,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370262,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370271,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370301,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370304,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370313,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370317,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370321,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000370325,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000380062,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000380064,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000380065,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
1000380087,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k,0.0k
