Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,0.0k,18.3k,0.8k,4.4k,2.6k,0.0k,14.3k,0.0k,0.3k,4.1k
1000029,0.1k,22.7k,3.3k,4.7k,3.3k,0.0k,24.1k,1.2k,5.5k,2.9k
1000116,3.8k,15.9k,1.0k,3.4k,2.2k,0.0k,15.3k,0.0k,3.7k,3.7k
100024,0.0k,24.9k,32.0k,3.4k,0.0k,0.0k,14.7k,0.5k,0.5k,0.2k
1000306,16.2k,22.4k,0.4k,2.3k,7.1k,0.0k,15.7k,0.2k,2.2k,2.9k
1000316,5.0k,13.0k,0.4k,0.0k,3.8k,1.4k,21.8k,0.1k,1.8k,2.9k
100031,0.0k,9.7k,0.9k,16.7k,0.9k,0.0k,12.5k,0.7k,1.7k,1.0k
1000320,0.0k,24.4k,0.4k,3.1k,6.6k,0.0k,15.9k,0.4k,2.3k,3.9k
1000331,0.0k,14.8k,0.0k,1.9k,3.1k,6.6k,17.6k,0.0k,2.2k,5.3k
1000360176,0.0k,14.4k,0.8k,10.8k,0.0k,0.0k,11.8k,0.6k,0.4k,0.5k
1000360187,0.0k,17.0k,0.5k,6.7k,0.6k,0.0k,4.8k,37.5k,0.0k,0.5k
1000360191,0.0k,18.4k,0.3k,2.8k,0.0k,0.0k,13.1k,39.1k,0.6k,0.0k
1000360205,0.0k,18.9k,0.1k,1.1k,0.0k,0.0k,10.3k,0.1k,0.4k,0.1k
1000360219,0.0k,25.1k,0.0k,1.6k,0.2k,0.0k,18.0k,0.2k,2.0k,0.6k
1000360222,0.2k,18.2k,0.9k,1.0k,0.3k,0.0k,16.7k,1.4k,0.3k,0.0k
1000360381,0.8k,8.2k,0.7k,0.6k,0.6k,0.0k,20.2k,0.0k,0.6k,0.5k
1000360390,0.0k,20.4k,2.6k,5.5k,0.0k,0.0k,26.4k,2.8k,12.2k,0.0k
1000360397,0.0k,10.8k,50.9k,1.2k,0.7k,0.0k,16.8k,2.0k,12.0k,0.7k
1000360408,0.1k,14.8k,0.9k,1.3k,0.0k,0.0k,16.1k,1.4k,10.9k,1.0k
1000360417,0.0k,26.2k,0.4k,10.3k,1.2k,0.0k,32.4k,103.5k,12.0k,0.0k
1000360424,0.0k,21.0k,0.1k,1.1k,0.0k,0.0k,12.2k,0.0k,2.3k,0.0k
1000360430,0.4k,19.1k,1.1k,2.0k,0.0k,0.0k,30.7k,1.1k,8.0k,0.0k
1000370225,0.0k,24.0k,0.7k,3.7k,0.5k,13.9k,21.1k,0.0k,0.5k,0.0k
1000370226,0.0k,20.2k,0.8k,4.5k,0.0k,10.1k,11.3k,83.7k,0.8k,0.8k
1000370236,0.0k,13.3k,0.8k,8.2k,0.0k,0.0k,17.4k,1.0k,0.7k,0.0k
1000370246,14.3k,19.7k,0.7k,3.9k,0.0k,0.0k,11.0k,0.6k,0.4k,0.4k
1000370262,8.5k,11.5k,1.0k,1.4k,0.1k,0.0k,17.6k,0.5k,1.1k,0.0k
1000370271,0.0k,15.2k,0.0k,9.3k,0.9k,0.0k,13.5k,0.7k,0.8k,3.6k
1000370301,0.0k,8.7k,1.7k,3.9k,0.0k,0.0k,41.0k,1.6k,2.6k,0.6k
1000370304,12.9k,22.1k,50.2k,1.9k,2.8k,0.0k,13.0k,1.1k,0.1k,1.0k
1000370313,0.0k,19.1k,0.7k,0.3k,0.8k,0.0k,14.4k,1.1k,1.7k,0.0k
1000370317,8.6k,11.9k,0.6k,0.9k,0.2k,0.0k,20.0k,1.1k,12.9k,0.3k
1000370321,7.0k,12.5k,0.0k,1.3k,0.1k,0.0k,16.2k,0.2k,7.2k,0.0k
1000370325,22.0k,19.1k,65.0k,2.7k,0.4k,0.0k,15.5k,0.0k,0.0k,0.1k
1000380062,0.0k,10.4k,0.0k,0.5k,0.0k,0.0k,12.7k,0.5k,6.2k,0.0k
1000380064,0.0k,15.3k,0.5k,4.6k,0.0k,0.0k,13.8k,0.9k,0.6k,0.5k
1000380065,0.0k,6.5k,0.0k,0.0k,0.4k,0.4k,12.2k,0.3k,4.0k,0.0k
1000380087,2.0k,12.5k,0.0k,0.5k,0.9k,0.0k,15.7k,0.0k,1.2k,0.5k
1000380094,0.0k,15.6k,0.2k,12.0k,0.3k,0.0k,21.1k,1.5k,0.9k,0.9k
1000380095,0.0k,6.4k,0.7k,12.6k,0.0k,0.3k,23.0k,0.0k,0.9k,1.0k
1000380097,0.0k,16.9k,0.1k,10.1k,1.1k,0.0k,14.7k,1.6k,0.3k,0.5k
1000380098,0.0k,12.7k,0.5k,1.2k,0.6k,0.0k,10.5k,0.6k,5.8k,0.0k
1000420071,0.0k,17.3k,1.1k,2.2k,1.7k,0.0k,16.7k,59.4k,1.3k,0.8k
1000420074,0.5k,14.9k,1.4k,0.7k,0.0k,0.8k,49.5k,0.0k,0.9k,0.0k
1000420080,0.0k,15.3k,1.9k,1.7k,1.2k,0.0k,13.2k,0.7k,7.4k,0.5k
1000420135,0.0k,10.7k,0.0k,0.0k,2.9k,0.5k,13.6k,0.7k,1.7k,0.7k
1000420142,0.0k,12.4k,0.4k,6.1k,0.4k,0.0k,14.0k,0.5k,1.4k,2.1k
1000420149,0.0k,12.2k,0.8k,0.2k,3.3k,6.5k,11.6k,1.0k,0.1k,0.0k
1000430019,0.0k,19.8k,0.9k,2.0k,0.6k,0.0k,27.1k,1.6k,3.8k,0.0k
1000430033,0.0k,12.1k,1.2k,0.4k,0.0k,0.0k,11.6k,0.0k,0.2k,0.0k
1000430034,0.0k,14.1k,0.9k,0.5k,0.0k,0.8k,21.1k,1.4k,0.9k,0.8k
1000430040,0.0k,20.1k,1.2k,2.3k,0.0k,0.0k,28.6k,1.0k,4.3k,1.2k
1000430047,0.0k,10.9k,0.1k,6.3k,0.8k,0.0k,4.3k,0.4k,0.5k,1.0k
1000430058,5.7k,12.0k,0.7k,1.8k,0.0k,0.0k,12.0k,0.7k,3.9k,0.0k
1000430107,0.0k,7.9k,0.0k,0.0k,0.0k,0.0k,14.2k,0.5k,5.5k,0.6k
1000430112,0.0k,21.7k,0.0k,2.3k,0.0k,0.0k,10.2k,0.0k,1.3k,4.0k
1000430120,0.4k,13.6k,1.0k,7.2k,0.1k,0.0k,11.0k,1.8k,1.1k,3.3k
1000430136,0.0k,11.2k,0.5k,4.2k,0.0k,0.0k,5.9k,0.6k,0.0k,1.0k
1000430139,0.0k,12.0k,39.8k,3.6k,0.6k,5.3k,14.8k,0.6k,18.5k,1.0k
