Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,1.0k,0.2k,0.2k,0.0k,0.0k,0.1k,0.9k,0.4k,1.1k,0.0k
1000029,0.9k,0.2k,0.8k,0.1k,0.4k,1.8k,0.2k,0.5k,0.0k,1.1k
1000116,0.0k,0.0k,0.0k,0.0k,0.0k,0.9k,0.1k,0.3k,0.1k,0.4k
100024,0.2k,0.2k,0.0k,0.2k,0.1k,1.3k,0.1k,1.2k,0.5k,0.5k
1000306,0.2k,0.1k,0.3k,0.1k,0.2k,1.5k,0.4k,0.5k,0.1k,1.5k
1000316,0.1k,0.1k,0.1k,0.0k,0.4k,2.6k,0.5k,0.0k,0.0k,0.4k
100031,0.4k,0.6k,0.5k,1.0k,0.4k,0.8k,1.4k,0.5k,2.1k,1.2k
1000320,1.2k,0.4k,0.3k,0.0k,0.5k,0.1k,0.6k,0.1k,0.0k,0.1k
1000331,0.3k,0.2k,0.4k,0.1k,0.0k,0.0k,0.3k,0.5k,0.3k,0.2k
1000453,0.0k,0.3k,0.1k,0.0k,0.5k,1.0k,0.4k,0.1k,0.0k,0.3k
1000462,0.7k,0.8k,0.4k,0.0k,0.9k,1.1k,0.0k,0.0k,0.2k,0.5k
1000469,3.7k,0.7k,0.4k,0.2k,1.4k,0.0k,0.4k,0.0k,0.2k,0.4k
1000512,0.1k,1.1k,1.1k,0.0k,0.9k,2.2k,0.1k,0.5k,0.0k,0.3k
1000523,0.4k,0.2k,0.1k,1.0k,0.6k,2.6k,2.8k,0.0k,0.3k,0.0k
1000525,0.2k,0.2k,0.0k,0.0k,0.0k,3.1k,0.7k,0.1k,0.3k,0.6k
100092,0.3k,0.5k,1.0k,0.7k,1.0k,0.4k,0.4k,0.3k,0.4k,0.2k
1001000016,0.4k,1.0k,0.2k,0.1k,0.5k,0.1k,0.7k,0.3k,0.5k,0.3k
1001000017,1.8k,1.9k,3.4k,0.5k,0.3k,0.9k,0.5k,0.8k,0.3k,0.1k
1001000029,1.5k,1.1k,1.4k,0.0k,0.2k,0.7k,0.5k,0.7k,0.4k,0.3k
1001000044,0.1k,0.4k,0.0k,0.1k,0.3k,0.2k,0.2k,0.1k,0.2k,0.2k
1001000054,0.1k,0.3k,0.3k,0.0k,0.0k,0.6k,0.7k,0.6k,0.7k,0.2k
1001010020,0.2k,0.2k,0.3k,0.3k,0.3k,0.6k,0.2k,0.1k,0.3k,0.4k
1001010041,0.1k,0.0k,0.1k,0.2k,0.2k,0.8k,0.4k,0.4k,0.6k,0.2k
1001010047,0.5k,1.9k,0.1k,0.3k,0.3k,0.9k,0.7k,0.2k,0.1k,0.5k
1001010060,0.3k,0.4k,1.3k,0.1k,0.8k,0.7k,0.4k,0.3k,0.5k,0.6k
1001010073,0.2k,0.7k,0.4k,0.1k,0.4k,1.1k,2.3k,0.7k,0.7k,0.2k
1001010082,0.3k,0.6k,0.4k,0.4k,0.1k,0.9k,0.7k,0.7k,0.8k,0.5k
1001010086,3.3k,3.1k,0.9k,2.8k,1.3k,0.5k,2.1k,0.3k,0.3k,0.7k
1001010089,1.0k,1.2k,0.9k,0.9k,1.2k,0.7k,0.9k,0.5k,0.9k,0.6k
1001010097,0.2k,1.1k,0.1k,0.5k,0.0k,0.7k,0.4k,0.8k,0.6k,0.1k
1001010098,0.9k,1.6k,0.2k,0.1k,0.6k,0.1k,0.2k,0.3k,0.1k,0.1k
1001010106,1.3k,1.1k,0.5k,0.1k,0.2k,1.3k,0.7k,0.9k,0.6k,0.8k
1001010108,2.1k,0.7k,1.4k,0.6k,1.7k,1.0k,3.2k,1.3k,3.7k,1.1k
1001010113,1.4k,0.6k,0.4k,0.6k,0.2k,0.5k,1.3k,1.6k,0.2k,0.3k
1001010129,0.5k,0.5k,0.9k,0.0k,0.1k,1.1k,0.7k,0.5k,0.3k,0.3k
1001010139,0.8k,0.3k,1.0k,0.1k,0.3k,2.3k,0.7k,0.9k,0.6k,0.2k
1001020025,1.4k,2.2k,1.4k,1.0k,0.9k,0.7k,1.7k,0.9k,0.6k,0.3k
1001020027,0.6k,0.6k,1.2k,0.3k,0.2k,0.4k,0.4k,0.3k,0.0k,0.3k
1001020035,0.8k,0.2k,0.1k,0.6k,0.1k,1.0k,0.1k,0.0k,0.5k,0.5k
1001020036,0.1k,1.8k,1.6k,0.1k,1.4k,0.8k,0.3k,0.5k,1.0k,0.6k
1001020042,0.1k,0.7k,0.0k,0.2k,0.2k,3.2k,0.7k,0.0k,0.4k,0.1k
1001020048,4.3k,1.9k,1.0k,1.9k,1.1k,0.6k,0.2k,0.7k,0.1k,0.4k
1001020050,1.3k,0.5k,0.3k,0.0k,0.1k,0.5k,0.7k,0.0k,0.3k,0.2k
1001020054,0.5k,0.4k,0.2k,0.2k,0.6k,1.6k,1.6k,1.2k,1.0k,2.3k
1001020062,0.4k,0.3k,0.3k,0.4k,0.3k,0.3k,0.5k,0.2k,0.2k,0.2k
1001020065,0.3k,0.0k,0.0k,0.4k,0.1k,0.4k,0.0k,0.1k,0.0k,0.0k
1001020066,0.5k,0.2k,0.1k,0.1k,0.7k,0.1k,0.0k,0.0k,0.2k,0.1k
1001020070,3.3k,3.5k,4.5k,2.6k,3.3k,1.3k,1.3k,0.7k,0.5k,0.9k
1001020073,1.8k,0.8k,0.6k,0.2k,0.5k,0.7k,0.9k,0.8k,0.2k,0.6k
1001020078,0.4k,0.3k,0.1k,0.0k,0.0k,0.6k,0.5k,0.1k,0.4k,0.3k
1001020080,0.9k,0.8k,1.0k,1.1k,0.2k,1.0k,0.7k,1.2k,0.1k,0.4k
1001020083,0.1k,0.1k,0.1k,0.0k,0.0k,1.1k,0.7k,3.2k,1.6k,1.1k
1001020089,4.1k,2.7k,2.8k,1.3k,1.0k,1.9k,2.2k,2.9k,2.1k,1.5k
1001020099,0.1k,0.0k,0.1k,0.4k,0.0k,0.5k,0.6k,0.7k,0.1k,0.7k
1001020112,1.2k,0.7k,0.3k,1.0k,0.5k,4.8k,3.7k,3.0k,2.0k,3.9k
1001020120,0.6k,0.6k,1.3k,0.5k,1.7k,0.3k,0.7k,0.6k,0.0k,0.0k
1001020148,1.6k,1.5k,0.8k,0.7k,0.5k,0.0k,0.2k,0.3k,0.1k,0.1k
1001020157,0.8k,0.1k,0.6k,0.0k,0.1k,1.2k,0.4k,0.9k,0.1k,0.6k
1001020167,0.2k,0.4k,0.4k,0.1k,0.4k,0.1k,0.3k,0.0k,0.0k,0.0k
1001020174,1.6k,0.5k,0.4k,0.9k,0.4k,0.1k,0.1k,0.3k,0.2k,0.2k
1001020185,0.3k,0.6k,0.3k,0.2k,0.1k,0.5k,1.0k,0.7k,0.8k,0.3k
1001020201,0.5k,0.5k,0.1k,0.4k,0.0k,0.6k,0.4k,0.5k,0.2k,0.1k
1001020214,1.7k,2.4k,1.2k,0.5k,0.4k,0.4k,0.7k,0.5k,0.1k,0.1k
1001020222,0.1k,0.1k,0.2k,0.1k,0.3k,1.2k,0.8k,2.0k,0.9k,1.0k
1001020233,0.4k,0.9k,0.2k,0.3k,0.5k,0.8k,1.2k,0.2k,0.1k,0.6k
1001020245,0.2k,0.5k,0.6k,0.1k,0.2k,2.7k,0.4k,0.4k,0.7k,1.7k
100102,0.9k,0.9k,1.1k,0.5k,0.3k,3.8k,1.7k,2.0k,1.7k,1.2k
1001030097,1.0k,1.0k,0.4k,0.2k,0.4k,0.7k,1.4k,0.3k,0.8k,0.3k
1001030105,1.1k,0.7k,0.7k,0.2k,0.1k,0.8k,0.3k,0.2k,0.0k,0.4k
1001030110,0.0k,0.0k,0.1k,0.0k,0.0k,0.0k,0.0k,0.3k,0.1k,0.1k
1001030118,1.0k,0.9k,2.3k,0.4k,0.6k,0.1k,0.3k,0.0k,0.0k,0.1k
1001030127,1.1k,0.8k,0.4k,0.3k,0.8k,0.2k,0.4k,0.2k,0.3k,0.1k
1001030142,0.3k,0.0k,0.5k,0.3k,0.0k,3.1k,1.9k,2.4k,0.4k,0.5k
1001030146,0.1k,1.3k,0.0k,0.0k,0.3k,1.0k,0.0k,0.2k,0.0k,0.0k
1001030165,4.1k,1.6k,2.1k,0.3k,2.0k,1.4k,0.8k,0.4k,0.9k,0.0k
1001030177,0.6k,0.2k,0.1k,0.1k,0.2k,1.3k,0.4k,0.8k,0.7k,0.3k
1001030183,0.5k,0.4k,0.0k,0.0k,0.1k,1.7k,0.9k,0.5k,0.7k,0.3k
1001040016,0.1k,0.1k,0.4k,0.2k,0.1k,0.4k,0.3k,0.1k,0.0k,0.0k
1001040017,2.0k,0.7k,0.8k,0.5k,0.5k,3.8k,2.8k,3.0k,1.2k,0.8k
1001040024,0.4k,0.0k,0.1k,0.0k,0.1k,1.6k,0.8k,0.3k,0.3k,0.2k
1001040034,0.8k,0.4k,1.4k,0.3k,0.7k,0.1k,0.2k,0.1k,0.5k,0.5k
1001040041,0.3k,0.0k,0.1k,0.0k,0.0k,0.0k,1.1k,1.1k,0.0k,0.6k
1001040061,1.0k,2.6k,1.2k,0.0k,1.7k,2.3k,1.2k,0.4k,0.3k,0.6k
1001040062,0.2k,0.4k,0.3k,0.1k,0.1k,1.8k,2.4k,3.8k,1.3k,1.6k
1001040068,1.4k,1.3k,1.0k,0.2k,0.2k,2.0k,1.5k,1.7k,1.2k,1.4k
1001040074,2.1k,1.0k,0.8k,0.5k,0.2k,2.4k,1.0k,1.3k,0.1k,0.7k
1001040080,0.7k,0.8k,0.0k,0.5k,0.0k,0.6k,0.3k,0.4k,0.0k,0.2k
1001040096,0.7k,0.2k,0.4k,0.2k,0.3k,0.0k,0.4k,0.2k,0.0k,0.1k
1001040103,0.6k,1.4k,0.5k,0.4k,0.3k,2.0k,1.6k,0.2k,0.4k,0.2k
1001040111,0.3k,0.0k,0.0k,0.0k,0.2k,0.3k,0.1k,0.0k,0.4k,0.0k
