Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
470126,7,7,5,8,15,10,19,4,8,14
1000029,8,30,4,8,12,5,20,9,9,11
1000116,4,18,9,11,12,8,28,7,8,13
100024,3,11,9,4,6,1,7,5,2,5
1000306,7,20,6,8,24,8,26,5,13,15
1000316,8,22,3,12,11,11,10,10,6,14
100031,4,20,1,7,13,4,14,3,2,11
1000320,3,21,8,8,7,3,15,4,5,11
1000331,2,21,1,10,18,4,18,13,6,13
1000453,6,17,3,9,10,3,9,7,7,28
1000462,5,18,6,5,4,3,14,7,4,15
1000469,5,12,6,13,10,2,14,7,4,8
1000512,3,24,7,12,11,11,30,16,14,17
1000523,6,24,10,10,13,2,26,13,11,10
1000525,2,14,9,5,11,5,9,12,2,12
100092,6,12,10,5,6,7,13,13,4,14
1001000016,12,10,21,7,11,20,29,2,10,7
1001000017,6,11,2,6,21,6,12,10,11,4
1001000029,6,9,13,7,12,11,13,7,7,12
1001000044,2,11,8,6,9,2,16,4,5,7
1001000054,2,13,5,3,6,2,6,6,3,11
1001010020,3,11,5,1,10,1,6,7,2,7
1001010041,1,8,3,4,5,2,9,8,5,6
1001010047,8,10,7,6,32,5,18,2,12,17
1001010060,3,10,9,5,9,4,6,8,5,7
1001010073,5,12,3,10,8,3,9,7,3,3
1001010082,1,15,4,19,4,-,11,8,10,8
1001010086,3,15,8,6,13,5,5,6,11,20
1001010089,8,13,5,6,7,3,10,8,8,15
1001010097,1,9,3,2,7,3,7,6,-,12
1001010098,4,9,4,4,18,7,10,2,4,8
1001010106,4,3,8,5,13,3,11,9,3,6
1001010108,8,5,6,17,18,6,12,7,13,9
1001010113,6,11,9,11,13,6,14,10,6,4
1001010129,1,13,5,4,19,6,8,2,5,6
1001010139,4,12,5,4,16,7,14,4,5,8
1001020025,12,7,14,6,16,10,17,15,12,18
1001020027,8,13,7,8,10,3,7,9,5,8
1001020035,6,6,4,5,6,4,8,-,3,6
1001020036,3,5,3,5,8,5,10,5,9,9
1001020042,8,12,3,2,7,9,15,8,7,6
1001020048,-,5,6,6,12,2,16,7,6,11
1001020050,4,5,6,2,8,3,10,8,3,10
1001020054,3,6,3,1,10,3,3,2,5,7
1001020062,8,14,3,13,10,1,15,1,11,11
1001020065,6,8,6,3,12,5,5,3,2,7
1001020066,6,15,14,6,7,2,7,10,6,8
1001020070,11,19,10,17,11,9,25,9,16,25
1001020073,3,9,3,6,8,4,4,7,7,7
1001020078,4,10,7,10,10,3,7,7,3,5
1001020080,3,1,3,2,12,4,10,3,6,6
1001020083,7,13,3,4,4,-,6,4,1,6
1001020089,5,7,9,4,16,4,10,7,6,11
1001020099,13,7,9,6,7,3,12,4,7,11
