Game,Champion_1,Champion_2,Champion_3,Champion_4,Champion_5,Champion_6,Champion_7,Champion_8,Champion_9,Champion_10
1001890238,17,27,17,17,38,19,35,10,14,42
1000029,21,30,23,16,58,19,24,24,14,63
1000116,19,35,22,21,48,18,38,17,16,46
100024,7,23,4,6,28,7,21,9,3,32
1000306,23,29,23,16,60,22,27,16,16,52
1000316,23,9,15,14,36,20,31,20,16,38
100031,12,21,12,5,41,12,32,11,5,47
1000320,14,22,21,9,40,16,24,15,17,39
1000331,15,29,17,19,42,15,24,21,15,55
1000360176,14,22,11,2,41,14,30,7,9,53
1000360187,11,9,9,5,36,7,15,9,2,20
1000360191,16,32,12,10,41,16,28,8,6,42
1000360205,16,18,8,11,31,11,24,14,10,46
1000360219,14,34,13,6,53,11,34,5,6,68
1000360222,13,28,11,9,28,6,24,21,7,32
1000360381,20,28,16,3,41,14,25,7,12,34
1000360390,13,34,9,3,64,16,21,13,7,63
1000360397,11,35,18,5,42,16,13,8,5,52
1000360408,17,33,11,5,90,10,43,15,10,50
1000360417,13,51,7,18,59,15,51,10,16,95
1000360424,21,14,21,11,55,8,39,12,2,62
1000360430,18,54,18,13,64,10,38,12,9,49
1000370225,13,42,17,14,66,17,16,18,13,64
1000370226,19,38,13,10,51,21,34,12,4,72
1000370236,16,20,13,10,47,12,12,6,8,26
1000370246,9,19,14,8,47,7,18,11,4,59
1000370262,12,33,5,13,39,11,14,19,3,26
1000370271,16,26,7,11,39,8,10,7,4,41
1000370301,21,53,11,5,137,25,16,12,16,157
1000370304,17,33,9,15,44,14,25,10,11,34
1000370313,6,9,13,6,51,21,25,10,5,72
1000370317,12,15,14,5,44,8,15,12,13,50
1000370321,9,23,8,6,40,9,17,13,7,41
1000370325,12,19,24,14,45,23,15,13,14,52
1000380062,14,18,4,5,43,13,16,17,9,40
1000380064,7,14,10,10,62,12,14,14,10,45
1000380065,8,11,3,9,25,8,25,11,5,35
1000380087,5,11,15,7,26,10,16,7,11,37
1000380094,21,46,9,8,68,11,20,15,4,74
1000380095,7,9,20,15,73,20,23,15,7,71
1000380097,17,30,22,5,43,8,12,10,4,46
1000380098,9,10,11,8,46,17,21,8,9,52
1000420071,19,29,11,10,58,14,25,19,9,54
1000420074,8,11,16,9,32,9,29,12,8,42
1000420080,6,33,10,7,36,12,11,14,9,26
1000420135,19,19,5,8,41,10,10,12,10,47
1000420142,11,16,7,7,22,12,24,12,6,31
1000420149,18,6,8,6,33,6,9,6,11,25
1000430019,12,45,15,11,55,18,16,14,12,84
1000430033,7,19,6,5,24,9,9,6,9,19
1000430034,16,27,15,8,48,20,14,7,16,52
1000430040,29,66,13,8,85,15,20,17,17,97
1000430047,7,21,8,6,29,14,11,3,6,22
1000430058,15,18,7,12,32,9,27,10,4,30
1000430107,8,7,9,6,24,11,17,8,9,27
1000430112,12,33,10,5,60,12,24,6,15,50
1000430120,9,14,12,12,44,23,23,9,11,52
1000430136,7,9,10,9,18,9,17,2,3,20
1000430139,10,26,9,6,36,11,19,9,7,39
1000430162,19,9,12,8,64,19,53,7,13,68
1000440012,11,40,14,6,56,16,15,9,6,70
1000440016,19,30,7,7,42,14,12,17,8,39
1000440023,4,22,10,7,31,5,17,6,10,35
1000440032,33,43,10,6,68,12,9,14,14,51
1000440053,17,6,14,10,76,12,60,10,4,73
1000440054,16,17,13,12,55,11,10,14,10,43
1000450045,11,15,18,14,45,21,27,8,5,42
1000453,14,26,11,13,38,11,33,19,15,41
1000460050,11,28,9,7,35,10,15,10,4,30
1000460053,7,8,9,8,38,7,11,9,5,44
1000460054,15,9,8,7,50,13,23,7,3,33
1000460055,17,19,8,10,58,16,45,12,5,78
1000460089,10,12,13,3,44,12,24,13,7,59
1000460091,9,16,15,-,63,8,13,21,7,70
1000462,17,24,21,15,43,20,28,16,12,42
1000469,18,28,16,11,38,18,25,21,13,33
1000470064,7,30,12,12,46,16,22,15,4,33
1000470071,11,27,18,7,41,12,21,16,11,66
1000470072,10,28,15,5,46,13,7,10,8,30
1000470074,13,30,9,4,35,16,15,11,11,51
1000470085,8,10,7,4,46,12,26,10,1,37
1000470086,8,37,13,2,53,10,39,15,6,58
1000470087,12,14,17,11,28,6,23,8,-,24
1000470108,22,22,16,16,58,15,43,9,10,62
1000470111,20,24,16,10,69,15,18,17,8,90
1000470112,16,39,17,9,64,22,18,11,7,66
1000480040,11,10,9,5,24,8,10,16,7,33
1000480046,9,16,17,7,54,11,9,10,4,31
1000480047,5,9,9,6,39,10,6,9,7,25
1000490068,7,20,16,7,63,10,16,11,8,72
1000512,25,29,25,22,52,17,31,22,20,48
1000523,16,28,22,17,62,23,30,24,23,52
1000525,17,10,17,15,42,12,27,15,12,42
100070,17,40,19,13,60,17,25,21,12,54
100072,29,42,30,15,79,32,49,24,16,99
100080,17,22,14,11,41,16,34,13,12,33
100081,16,29,14,15,39,19,30,14,11,63
100092,15,28,6,5,34,6,20,9,4,45
1001000016,24,52,14,5,67,19,57,6,5,50
1001000017,25,44,5,21,56,12,48,11,5,42
1001000029,15,21,11,4,47,10,31,7,6,49
1001000044,9,25,7,5,40,15,26,10,7,27
1001000054,12,19,7,3,37,8,13,9,8,38
1001010020,12,14,5,5,42,6,19,10,3,34
1001010041,13,15,6,10,30,8,8,5,7,27
1001010047,25,18,11,9,98,8,72,9,3,100
1001010060,14,10,9,8,54,16,30,9,4,47
1001010073,16,26,12,5,45,23,39,8,5,39
1001010082,14,23,10,6,50,10,22,15,3,49
1001010086,19,41,9,2,62,27,42,11,4,59
1001010089,11,28,8,6,38,11,45,12,6,44
1001010097,11,13,9,5,32,15,18,12,6,26
1001010098,19,21,4,2,64,17,35,4,5,53
1001010106,5,19,14,2,52,15,41,9,15,45
1001010108,42,43,20,3,85,10,70,6,5,124
1001010113,14,15,12,5,47,8,43,11,5,46
